country,year,uhc,norm_uhc,uhc_log16,country_c
Samoa,2021.0,55.12797,0.44106391320866956,7.057022611338713,Samoa
Zimbabwe,2021.0,55.04284,0.4397388701755117,7.0358219228081875,Zimbabwe
Indonesia,2021.0,54.77663,0.43559532846451743,6.969525255432279,Indonesia
Haiti,2021.0,54.13732,0.42564450899396505,6.810312143903441,Haiti
Nepal,2021.0,53.66346,0.41826890824578966,6.692302531932635,Nepal
Kenya,2021.0,53.33536,0.4131620526228708,6.610592841965933,Kenya
Lesotho,2021.0,53.24809,0.4118037006258816,6.588859210014106,Lesotho
Myanmar,2021.0,52.44712,0.39933665354179343,6.389386456668695,Myanmar
Tuvalu,2021.0,52.40868,0.3987383373877398,6.3798133982038365,Tuvalu
East Timor,2021.0,52.30378,0.3971055755625519,6.35368920900083,Timor-Leste
Laos,2021.0,51.83316,0.3897804052082145,6.236486483331432,Laos
Bangladesh,2021.0,51.61948,0.3864544896047238,6.1832718336755805,Bangladesh
Senegal,2021.0,50.08955,0.362641226504534,5.802259624072544,Senegal
Dominica,2021.0,49.14794,0.34798512676940246,5.567762028310439,Dominica
Gabon,2021.0,48.97425,0.34528165297133856,5.524506447541417,Gabon
Uganda,2021.0,48.5671,0.3389443891283901,5.423110226054241,Uganda
Rwanda,2021.0,48.55309,0.3387263243698496,5.419621189917594,Rwanda
Malawi,2021.0,48.27469,0.33439304608450793,5.350288737352127,Malawi
Comoros,2021.0,48.11962,0.33197939140164895,5.311670262426383,Comoros
Ghana,2021.0,47.78764,0.32681214382561546,5.228994301209847,Ghana
Kiribati,2021.0,47.71428,0.3256703000935297,5.210724801496475,Kiribati
Micronesia (country),2021.0,47.65958,0.3248188980741037,5.197102369185659,"Micronesia, Fed. Sts."
Solomon Islands,2021.0,47.2799,0.3189092030332325,5.10254724853172,Solomon Islands
Vanuatu,2021.0,46.99287,0.3144415993470198,5.031065589552317,Vanuatu
Gambia,2021.0,46.1508,0.3013348333781344,4.82135733405015,Gambia
Cook Islands,2021.0,45.98177,0.29870389218355353,4.7792622749368565,Cook Islands
Equatorial Guinea,2021.0,45.74751,0.29505765018957314,4.72092240303317,Equatorial Guinea
Pakistan,2021.0,45.20959,0.2866849596175508,4.586959353880813,Pakistan
Eritrea,2021.0,44.88894,0.2816940627705867,4.507105004329387,Eritrea
Liberia,2021.0,44.70966,0.27890358097821577,4.462457295651452,Liberia
Togo,2021.0,44.00792,0.2679810425300991,4.287696680481585,Togo
Mozambique,2021.0,43.9927,0.2677441441985513,4.283906307176821,Mozambique
Djibouti,2021.0,43.91182,0.26648525214496493,4.263764034319439,Djibouti
Cameroon,2021.0,43.87635,0.26593316385192955,4.254930621630873,Cameroon
Niue,2021.0,43.59322,0.26152626341755886,4.184420214680942,Niue
Sudan,2021.0,43.53126,0.26056185996008846,4.168989759361415,Sudan
Cote d'Ivoire,2021.0,42.77569,0.24880146098718736,3.980823375794998,Cote d'Ivoire
Tanzania,2021.0,42.62791,0.246501274690464,3.944020395047424,Tanzania
Yemen,2021.0,42.4872,0.24431113249387484,3.9089781199019975,Yemen
Democratic Republic of Congo,2021.0,41.73901,0.23266560275138268,3.722649644022123,DR Congo
Burundi,2021.0,41.46003,0.22832329680294655,3.653172748847145,Burundi
Mali,2021.0,41.28001,0.22552129695766193,3.608340751322591,Mali
Sierra Leone,2021.0,41.00435,0.22123066659797344,3.539690665567575,Sierra Leone
Congo,2021.0,41.00078,0.22117509977513336,3.5388015964021338,Congo Republic
Afghanistan,2021.0,40.88461,0.21936692111705816,3.5098707378729306,Afghanistan
Mauritania,2021.0,40.12226,0.2075009918755701,3.320015870009122,Mauritania
Guinea,2021.0,39.92434,0.2044203796692669,3.2707260747082705,Guinea
Burkina Faso,2021.0,39.60456,0.19944302431694444,3.191088389071111,Burkina Faso
