country,year,unem,norm_unemploy,unemploy_log16_n,country_c
Bangladesh,2021.0,5.3286,0.8504164845026347,13.784022038567494,Bangladesh
Luxembourg,2021.0,5.4776,0.8461308359603305,13.720873066327613,Luxembourg
Guinea,2021.0,5.4806,0.8460445477346464,13.719601610510702,Guinea
Nicaragua,2021.0,5.4948,0.8456361167997424,13.71358338631066,Nicaragua
Kenya,2021.0,5.563000000000001,0.8436744978025266,13.684678957406229,Kenya
Sri Lanka,2021.0,5.5966000000000005,0.842708069674866,13.670438652256834,Sri Lanka
Belgium,2021.0,5.649,0.8412009019995859,13.648230557321465,Belgium
Pakistan,2021.0,5.6754,0.8404415656135669,13.637041746132656,Pakistan
Comoros,2021.0,5.698,0.8397915276467476,13.627463445645265,Comoros
Guam,2021.0,5.715000000000001,0.8393025610345383,13.620258529349439,Guam
Zambia,2021.0,5.7344,0.8387445638417819,13.612036448400085,Zambia
Gambia,2021.0,5.8314,0.835954577878,13.570926043653316,Gambia
Brunei,2021.0,5.875,0.8347005223313928,13.552447552447552,Brunei Darussalam
Estonia,2021.0,5.9128,0.8336132906877747,13.536427209154482,Estonia
Azerbaijan,2021.0,5.913200000000001,0.8336017855910168,13.536257681712225,Azerbaijan
India,2021.0,5.9486,0.8325835845279459,13.521254503072687,India
Saudi Arabia,2021.0,6.035200000000001,0.8300927310798684,13.484551811824536,Saudi Arabia
Eritrea,2021.0,6.0488,0.829701557790101,13.478787878787879,Eritrea
Dominican Republic,2021.0,6.2490000000000006,0.8239432568627902,13.393939393939394,Dominican Republic
Slovakia,2021.0,6.2714,0.8232989714443499,13.384445857173128,Slovakia
Venezuela,2021.0,6.3438,0.8212165489311766,13.353761390125026,Venezuela
Central African Republic,2021.0,6.3666,0.8205607584159783,13.344098325916509,Central African Republic
Portugal,2021.0,6.4677999999999995,0.8176499689362388,13.301207883026063,Portugal
Canada,2021.0,6.703999999999999,0.8108562093007203,13.201101928374655,Canada
Paraguay,2021.0,6.7976,0.8081640166593801,13.161432506887053,Paraguay
Croatia,2021.0,6.950999999999999,0.8037518120527394,13.096418732782368,Croatia
Lithuania,2021.0,6.9544,0.8036540187302975,13.094977749523204,Lithuania
Mauritius,2021.0,7.0112,0.802020294990681,13.070904852723032,Mauritius
Cyprus,2021.0,7.0388,0.8012264433143883,13.05920745920746,Cyprus
Latvia,2021.0,7.054400000000001,0.8007777445408316,13.052595888959525,Latvia
Tajikistan,2021.0,7.0578,0.8006799512183898,13.051154905700361,Tajikistan
Finland,2021.0,7.1868,0.7969695575139787,12.996482305573215,Finland
Mongolia,2021.0,7.191,0.7968487539980211,12.99470226742954,Mongolia
Puerto Rico,2021.0,7.4104,0.7905382084263328,12.901716465352829,Puerto Rico
Honduras,2021.0,7.453800000000001,0.7892899054281046,12.883322737868193,Honduras
Egypt,2021.0,7.5832,0.7855680066269357,12.828480610298792,Egypt
Sweden,2021.0,7.765000000000001,0.7803389401504867,12.751430387794024,Sweden
France,2021.0,7.786,0.7797349225706989,12.742530197075652,France
Suriname,2021.0,8.133199999999999,0.7697484985848732,12.595380377198557,Suriname
Argentina,2021.0,8.604600000000001,0.7561897420557306,12.395592286501378,Argentina
Barbados,2021.0,8.8066,0.7503796681930095,12.309980928162746,Barbados
Equatorial Guinea,2021.0,8.8096,0.7502933799673256,12.308709472345836,Equatorial Guinea
Italy,2021.0,8.86,0.7488437377758348,12.287349014621743,Italy
Zimbabwe,2021.0,8.876000000000001,0.7483835339055201,12.280567916931552,Zimbabwe
Uruguay,2021.0,8.9192,0.7471409834556708,12.262258953168043,Uruguay
Chile,2021.0,9.040000000000001,0.743666444234796,12.21106166560712,Chile
Ukraine,2020.0,9.167666666666667,0.7399944008529111,12.156954156954157,Ukraine
Panama,2021.0,9.174199999999999,0.7398064842725327,12.154185208730663,Panama
Serbia,2021.0,9.3668,0.7342667801836213,12.072557745285017,Serbia
Belize,2021.0,9.3792,0.7339101221841275,12.06730239457512,Belize
Iran,2021.0,9.5794,0.7281518212568168,11.982453909726637,Iran
Morocco,2021.0,9.9192,0.7183782415610116,11.838440347531256,Morocco
Samoa,2021.0,9.970600000000001,0.716899836627626,11.816656071201525,Samoa
Armenia,2021.0,10.3172,0.7069306702869371,11.669760542487815,Armenia
Bahamas,2021.0,10.715399999999999,0.6954773464644839,11.500995973723246,Bahamas
Mauritania,2021.0,10.7216,0.6952990174647369,11.498368298368296,Mauritania
Sudan,2021.0,10.965399999999999,0.6882866609908189,11.395041322314048,Sudan
Brazil,2021.0,11.1946,0.6816942405485631,11.297902097902098,Brazil
Nepal,2021.0,11.5314,0.6720069490784417,11.155159991523627,Nepal
Georgia,2021.0,11.6736,0.6679168871810213,11.094892985802076,Georgia
Turkey,2021.0,11.7382,0.6660588140546262,11.067514303877939,Türkiye
New Caledonia,2021.0,11.897400000000001,0.6614797855449964,11.000042381860563,New Caledonia
Albania,2021.0,11.9802,0.6590982305161186,10.964950201313837,Albania
Colombia,2021.0,12.054599999999999,0.656958282519156,10.93341809705446,Colombia
Lebanon,2021.0,12.0642,0.6566821601969672,10.929349438440346,Lebanon
French Polynesia,2021.0,12.1084,0.6554108470052233,10.910616656071202,French Polynesia
Costa Rica,2021.0,12.401399999999999,0.6469833636300881,10.786437804619622,Costa Rica
Afghanistan,2021.0,12.6708,0.6392346809636669,10.67226107226107,Afghanistan
Algeria,2021.0,12.836599999999999,0.6344658183575325,10.601991947446493,Algeria
Cape Verde,2021.0,12.99,0.6300536137508916,10.536978173341808,Cabo Verde
South Sudan,2021.0,13.075999999999999,0.6275800179479509,10.500529773257046,South Sudan
United States Virgin Islands,2021.0,13.156600000000001,0.6252617409512414,10.46636999364272,United States Virgin Islands
Rwanda,2021.0,13.775,0.6074748613635841,10.20428056791693,Rwanda
Guyana,2021.0,13.8012,0.6067212775259441,10.193176520449246,Guyana
Spain,2021.0,13.895599999999998,0.6040060746910882,10.153168044077134,Spain
Bosnia and Herzegovina,2021.0,13.9068,0.603683931981868,10.148421275694002,Bosnia and Herzegovina
Syria,2021.0,14.144400000000001,0.5968499045076969,10.047721974994701,Syria
Greece,2021.0,14.2048,0.5951126348972595,10.02212333121424,Greece
Sao Tome and Principe,2021.0,14.509199999999998,0.5863572562645253,9.8931129476584,Sao Tome and Principe
Haiti,2021.0,14.8576,0.5763363169884259,9.745454545454544,Haiti
Iraq,2021.0,15.4416,0.5595388757219448,9.497944479762662,Iraq
North Macedonia,2021.0,15.468399999999999,0.558768034239168,9.486586141131594,North Macedonia
Angola,2021.0,15.657,0.5533433811178352,9.406653952108496,Angola
Montenegro,2021.0,16.0182,0.5429542787454843,9.253570671752488,Montenegro
Tunisia,2021.0,16.3282,0.53403782875814,9.122186904005085,Tunisia
Lesotho,2021.0,17.2968,0.5061782369589729,8.711676202585293,Lesotho
Yemen,2021.0,17.6506,0.4960019788766423,8.561729179910998,Yemen
Saint Lucia,2021.0,17.6756,0.49528291032927596,8.551133714770078,St. Lucia
Jordan,2021.0,18.399,0.47447594284267935,8.244543335452425,Jordan
Somalia,2021.0,19.1772,0.4520927771002555,7.914727696545877,Somalia
Libya,2021.0,19.2458,0.4501196530062819,7.885653740199194,Libya
Saint Vincent and the Grenadines,2021.0,19.6492,0.4385167629259762,7.7146853146853145,St. Vincent and the Grenadines
Namibia,2021.0,20.1916,0.42291585172231305,7.48480610298792,Namibia
Gabon,2021.0,20.7588,0.4066016245196622,7.244416189870735,Gabon
Congo,2021.0,21.0746,0.39751835062932883,7.110574274210637,Congo Republic
Botswana,2021.0,22.2426,0.3639234680963668,6.615554142826869,Botswana
Palestine,2020.5,25.51125,0.2699081318023885,5.230239457512184,Palestine
Djibouti,2021.0,26.8128,0.2324719850893947,4.678618351345624,Djibouti
South Africa,2021.0,27.094600000000003,0.22436664442347953,4.559186268277176,South Africa
Eswatini,2021.0,34.8952,0.0,1.2531468531468524,Eswatini
