country,year,male_unemploy,female_unemploy,m_f_unemploy,norm_unemploy,unemploy_norm_withpts,unemploy_norm_withpts_log5
Sao Tome and Principe,2023,9.932,22.05,31.982,0.57968502,2.898425102,9.274960328
Saudi Arabia,2023,2.489,13.07,15.559,0.798690475,3.993452373,12.77904759
Senegal,2023,2.804,3.128,5.932,0.927069303,4.635346517,14.83310886
Serbia,2023,8.438,8.975,17.413,0.773966848,3.869834242,12.38346958
Sierra Leone,2023,4.129,2.136,6.265,0.922628652,4.613143261,14.76205844
Singapore,2023,3.3,3.705,7.005,0.912760538,4.563802691,14.60416861
Slovakia,2023,5.74,5.953,11.693,0.850244703,4.251223513,13.60391524
Slovenia,2023,3.603,3.656,7.259,0.909373375,4.546866874,14.549974
Solomon Islands,2023,1.499,1.594,3.093,0.964928189,4.824640947,15.43885103
Somalia,2023,16.451,24.693,41.144,0.457507101,2.287535505,7.320113617
South Africa,2023,26.322,29.869,56.191,0.256851005,1.284255024,4.109616077
South Korea,2023,2.605,2.689,5.294,0.935577218,4.67788609,14.96923549
South Sudan,2023,11.184,13.314,24.498,0.679486325,3.397431623,10.87178119
Spain,2023,10.595,13.894,24.489,0.679606342,3.398031711,10.87370148
Sri Lanka,2023,4.578,9.95,14.528,0.812439158,4.062195789,12.99902652
Sudan,2023,8.392,18.729,27.121,0.644507861,3.222539306,10.31212578
Suriname,2023,5.474,10.819,16.293,0.788902372,3.944511862,12.62243796
Sweden,2023,7.358,7.844,15.202,0.803451173,4.017255864,12.85521877
Switzerland,2023,3.865,4.261,8.126,0.897811679,4.489058395,14.36498686
Syria,2023,10.897,25.254,36.151,0.5240902,2.620450999,8.385443198
Tajikistan,2023,7.907,5.493,13.4,0.827481364,4.13740682,13.23970182
Tanzania,2023,1.726,3.535,5.261,0.936017283,4.680086413,14.97627652
Thailand,2023,0.816,1.027,1.843,0.981597301,4.907986505,15.70555681
Togo,2023,2.273,1.807,4.08,0.951766259,4.758831295,15.22826014
Tonga,2023,1.851,2.954,4.805,0.942098174,4.710490872,15.07357079
Trinidad and Tobago,2023,3.754,4.808,8.562,0.891997493,4.459987465,14.27195989
Tunisia,2023,12.875,20.54,33.415,0.560575551,2.802877755,8.969208817
Turkey,2023,8.054,12.135,20.189,0.736948086,3.684740429,11.79116937
Turkmenistan,2023,5.874,2.541,8.415,0.89395778,4.469788902,14.30332449
Uganda,2023,2.282,3.393,5.675,0.930496473,4.652482364,14.88794357
United Arab Emirates,2023,1.551,7.781,9.332,0.88172932,4.408646602,14.10766912
United Kingdom,2023,4.262,3.828,8.09,0.898291749,4.491458747,14.37266799
United States,2023,3.78,3.448,7.228,0.909786769,4.548933844,14.5565883
United States Virgin Islands,2023,11.289,13.062,24.351,0.681446612,3.407233061,10.90314579
Uruguay,2023,7.411,9.477,16.888,0.780967875,3.904839376,12.495486
Uzbekistan,2023,3.333,6.64,9.973,0.8731814,4.365907,13.9709024
Vanuatu,2023,4.037,6.447,10.484,0.866367067,4.331835336,13.86187307
Venezuela,2023,5.236,6.029,11.265,0.855952206,4.279761032,13.6952353
Vietnam,2023,1.729,1.466,3.195,0.96356799,4.81783995,15.41708784
Yemen,2023,16.18,29.494,45.674,0.397098241,1.985491205,6.353571857
Zambia,2023,5.664,6.22,11.884,0.847697662,4.238488312,13.5631626
Zimbabwe,2023,8.694,8.824,17.518,0.772566643,3.862833216,12.36106629
