country,year,terror,norm_terror,norm_terror_withpts_log16
Bosnia and Herzegovina,2016,1.181818182,0.9993965277130994,15.99034444340959
Nicaragua,2016,1.363636364,0.9993036858227283,15.988858973163653
Czechia,2016,1.454545455,0.9992572648775429,15.988116238040686
Kyrgyzstan,2016,1.454545455,0.9992572648775429,15.988116238040686
Republic of the Congo,2016,1.454545455,0.9992572648775429,15.988116238040686
New Zealand,2016,1.454545455,0.9992572648775429,15.988116238040686
Cyprus,2016,1.636363636,0.9991644229876826,15.986630767802922
Georgia,2016,1.636363636,0.9991644229876826,15.986630767802922
Tajikistan,2016,1.636363636,0.9991644229876826,15.986630767802922
Ghana,2016,1.636363636,0.9991644229876826,15.986630767802922
Finland,2016,1.727272727,0.9991180020424971,15.985888032679954
Kazakhstan,2016,1.818181818,0.9990715810973116,15.985145297556986
Japan,2016,1.818181818,0.9990715810973116,15.985145297556986
Belgium,2016,1.909090909,0.9990251601521261,15.984402562434017
New Caledonia,2016,2.181818182,0.9988858973165696,15.982174357065114
Argentina,2016,2.272727273,0.9988394763713841,15.981431621942146
Maldives,2016,2.363636364,0.9987930554261987,15.980688886819179
Spain,2016,2.363636364,0.9987930554261987,15.980688886819179
Rwanda,2016,2.454545455,0.9987466344810132,15.979946151696211
Senegal,2016,2.454545455,0.9987466344810132,15.979946151696211
Ecuador,2016,3.0,0.9984681088104109,15.975489740966575
Jordan,2016,3.181818182,0.99837526692004,15.97400427072064
Kosovo,2016,3.545454545,0.9981895831398087,15.971033330236938
Brazil,2016,3.818181818,0.9980503203042522,15.968805124868036
Australia,2016,4.090909091,0.9979110574686958,15.966576919499133
Tanzania,2016,4.818181818,0.9975396899077226,15.960635038523561
Cote d'Ivoire,2016,5.363636364,0.9972611642366096,15.956178627785754
Malaysia,2016,5.909090909,0.9969826385660073,15.951722217056117
Netherlands,2016,6.0,0.9969362176208219,15.95097948193315
Peru,2016,6.272727273,0.9967969547852654,15.948751276564247
Venezuela,2016,6.454545455,0.9967041128948945,15.947265806318311
Canada,2016,6.818181818,0.9965184291146632,15.94429486583461
Uganda,2016,7.090909091,0.9963791662791067,15.942066660465708
Chad,2016,7.454545455,0.9961934824983648,15.939095719973837
Paraguay,2016,7.818181818,0.9960077987181335,15.936124779490136
Sweden,2016,8.454545455,0.995682852101835,15.93092563362936
Italy,2016,8.636363636,0.9955900102119748,15.929440163391597
Iran,2016,9.090909091,0.9953579054860473,15.925726487776757
Sri Lanka,2016,10.09090909,0.9948472750900282,15.917556401440452
China,2016,11.45454545,0.9941509609147992,15.906415374636786
Tunisia,2016,12.45454545,0.9936403305182695,15.898245288292312
Algeria,2016,12.81818182,0.9934546467344638,15.895274347751421
Bahrain,2016,14.90909091,0.9923869649967295,15.878191439947672
Mexico,2016,15.63636364,0.9920155974342244,15.87224955894759
Ireland,2016,16.54545455,0.9915513879823696,15.864822207717914
Ethiopia,2016,16.90909091,0.9913657042036702,15.861851267258723
South Africa,2016,17.63636364,0.9909943366411651,15.855909386258642
Niger,2016,21.09090909,0.9892303407282017,15.827685451651227
Chile,2016,21.81818182,0.9888589731656966,15.821743570651146
Burundi,2016,23.09090909,0.9882090799351423,15.811345278962277
Germany,2016,23.18181818,0.9881626589904675,15.81060254384748
France,2016,26.18181818,0.9866307678008784,15.786092284814055
Indonesia,2016,28.72727273,0.9853309813346637,15.765295701354619
South Sudan,2016,30.63636364,0.9843561414862791,15.749698263780466
Greece,2016,31.0,0.9841704577075797,15.746727323321275
Central African Republic,2016,33.36363636,0.9829635131358209,15.727416210173134
Burkina Faso,2016,40.45454545,0.9793426794154383,15.669482870647013
Lebanon,2016,44.18181818,0.9774394206633441,15.639030730613506
United States,2016,48.18181818,0.9753968990772253,15.606350385235604
Mozambique,2016,54.72727273,0.9720545910248918,15.552873456398268
Saudi Arabia,2016,55.81818182,0.9714975396836872,15.543960634938996
Russia,2016,62.63636364,0.9680159687973291,15.488255500757266
Myanmar,2016,62.81818182,0.9679231269079794,15.486770030527671
Kenya,2016,68.18181818,0.9651842911466315,15.442948658346104
Sudan,2016,75.63636364,0.9613777736424431,15.38204437827909
Israel,2016,79.81818182,0.9592424101669748,15.347878562671596
Nepal,2016,80.0,0.959149568277625,15.346393092442
Cameroon,2016,81.81818182,0.9582211493739153,15.331538389982645
United Kingdom,2016,90.72727273,0.953671896749823,15.258750347997168
Bangladesh,2016,91.18181818,0.9534397920264488,15.25503667242318
Mali,2016,93.63636364,0.9521864265049088,15.234982824078541
West Bank and Gaza Strip,2016,94.90909091,0.9515365332743546,15.224584532389674
Democratic Republic of Congo,2016,135.7272727,0.9306935289213061,14.891096462740897
Colombia,2016,148.8181818,0.9240089128166389,14.784142605066222
Turkey,2016,156.9090909,0.9198774486946203,14.718039179113925
Ukraine,2016,162.6363636,0.9169529291647857,14.67124686663657
Egypt,2016,197.7272727,0.8990344443364654,14.384551109383446
Libya,2016,227.0,0.884086899987761,14.145390399804176
Thailand,2016,229.1818182,0.8829727972951393,14.12756475672223
Syria,2016,272.0,0.8611085321439251,13.777736514302802
Somalia,2016,423.4545455,0.7837712375190365,12.540339800304585
Philippines,2016,469.2727273,0.7603750811782333,12.166001298851732
Nigeria,2016,508.8181818,0.7401819700659515,11.842911521055225
Yemen,2016,545.7272727,0.7213350663441342,11.541361061506148
India,2016,717.0,0.6338780056882143,10.142048091011429
Pakistan,2016,1013.090909,0.48268498741670873,7.72295979866734
Afghanistan,2016,1614.181818,0.1757496982036486,2.8119951712583777
Iraq,2016,1958.363636,0.0,0.0
