country,index,year,1_yr_all_hepB,1_yr_1stpolio,1_yr_1stmeasles,1_yr_1rubella,1_yr_dtap,all_vac_avg,norm,norm_vac_withpts_log16
Cyprus,1886.0,2018,96.18181818,99.0,86.90909091,86.90909091,96.27272727,93.054545454,0.8961520139647815,14.338432223436504
Czechia,1919.0,2018,96.0,98.66666667,95.90909091,95.90909091,96.09090909,96.51515151599999,0.9565976816962336,15.305562907139738
Dominica,2076.0,2018,91.0,91.11111111,89.63636364,89.63636364,90.90909091,90.45858586,0.8508089416092665,13.612943065748263
Dominican Republic,2128.0,2018,83.90909091,85.66666667,88.54545455,88.54545455,86.36363636,86.60606060799999,0.783517705005803,12.536283280092848
East Timor,2206.0,2018,81.36363636,76.25,73.27272727,74.0,81.36363636,77.24999999799999,0.6200973905362188,9.921558248579501
Ecuador,2324.0,2018,78.54545455,67.88888889,81.18181818,81.18181818,78.90909091,77.54141414200001,0.6251874592134639,10.002999347415422
Egypt,2374.0,2018,95.09090909,96.6,94.63636364,94.63636364,95.09090909,95.210909092,0.9338167575488587,14.94106812078174
El Salvador,2413.0,2018,93.81818182,94.625,92.45454545,92.45454545,93.81818182,93.434090908,0.9027814534301358,14.444503254882173
Eritrea,2493.0,2018,94.81818182,84.33333333,93.36363636,93.0,94.81818182,92.066666666,0.8788969459482019,14.06235113517123
Estonia,2522.0,2018,89.81818182,92.33333333,90.81818182,90.81818182,91.81818182,91.121212122,0.8623828931499508,13.798126290399212
Eswatini,2561.0,2018,89.81818182,78.0,86.36363636,82.71428571,89.81818182,85.342857142,0.7614535995817587,12.18325759330814
Fiji,2695.0,2018,97.27272727,96.625,97.27272727,97.27272727,97.27272727,97.14318181600001,0.9675673529500446,15.481077647200713
France,2778.0,2018,90.81818182,99.0,92.0,92.0,96.54545455,94.072727274,0.9139363785758625,14.6229820572138
Gambia,2869.0,2018,89.81818182,74.11111111,87.90909091,83.0,89.81818182,84.931313132,0.7542652481659513,12.068243970655221
Georgia,2905.0,2018,91.09090909,87.33333333,94.18181818,94.18181818,90.36363636,91.430303028,0.8677817180575427,13.884507488920683
Germany,2944.0,2018,87.45454545,98.0,97.0,97.0,91.54545455,94.2,0.9161594241260475,14.65855078601676
Ghana,2979.0,2018,95.27272727,89.5,91.36363636,91.36363636,95.27272727,92.554545452,0.8874186206096445,14.198697929754312
Greece,3034.0,2018,96.18181818,99.0,97.18181818,97.18181818,99.0,97.709090908,0.9774519663178747,15.639231461085995
Grenada,3068.0,2018,89.0,83.55555556,86.90909091,86.90909091,89.0,87.07474747600001,0.7917041585303198,12.667266536485117
Guatemala,3108.0,2018,83.72727273,91.5,86.45454545,86.45454545,83.72727273,86.37272727199999,0.7794421214097966,12.471073942556746
Guyana,3240.0,2018,97.45454545,90.22222222,97.63636364,97.63636364,97.45454545,96.08080808000001,0.9490110975709608,15.184177561135373
Haiti,3272.0,2018,58.36363636,70.5,67.09090909,67.09090909,58.09090909,64.227272726,0.39263219179998826,6.282115068799812
Honduras,3373.0,2018,88.0,77.55555556,89.54545455,89.54545455,88.0,86.529292932,0.7821768203882312,12.5148291262117
India,3501.0,2018,86.18181818,66.55555556,89.72727273,80.0,87.90909091,82.074747476,0.7043702253282856,11.26992360525257
Indonesia,3557.0,2018,83.72727273,54.125,85.18181818,66.42857143,83.72727273,74.63798701399999,0.5744739170427186,9.191582672683497
Iran,3598.0,2018,98.81818182,89.5,98.90909091,98.90909091,98.72727273,96.972727274,0.964590059833042,15.433440957328672
Iraq,3642.0,2018,78.45454545,89.14285714,83.27272727,81.72727273,79.27272727,82.374025972,0.7095976589639794,11.35356254342367
Ireland,3670.0,2018,94.09090909,97.66666667,91.54545455,91.54545455,94.09090909,93.78787879,0.908960990880991,14.543375854095856
