INEQ(GINI),ALL 8 ,CRIME MATCH INEQ?!,G.N.I. MATCH?!,HEALTHCARE MATCH?!,HOMICIDE MATCH,UNEMPLOY,TERROR,VACCINE,CRIME,G.N.I,HEALTHCARE,HOMICIDE,UNEMPLOY,TERROR,VACCINE
Netherlands,7,TRUE,TRUE,TRUE,,,,,Zambia,Paraguay,Portugal,Polynesia,Saint Lucia,Portugal,Slovakia
New Zealand,7,TRUE,TRUE,TRUE,,,,,,Philippines,Romania,Puerto Rico,Samoa,Republic of the Congo,Solomon Islands
Nicaragua,7,TRUE,TRUE,TRUE,,,,,,Poland,Russia,Qatar,Sao Tome and Principe,Rhodesia,South Korea
Norway,7,TRUE,TRUE,TRUE,,,,,,Russia,Samoa,Saint Helena,Singapore,Saint Lucia,Switzerland
Pakistan,7,TRUE,TRUE,TRUE,,,,,,Saint Kitts and Nevis,Sao Tome and Principe,Saint Lucia,Slovenia,Senegal,Tajikistan
Panama,7,TRUE,TRUE,TRUE,,,,,,Samoa,Serbia,Saint Vincent and the Grenadines,South Africa,Seychelles,Togo
Papua New Guinea,7,TRUE,TRUE,TRUE,,,,,,San Marino,Seychelles,Samoa,South Korea,Sierra Leone,Tonga
Paraguay,7,TRUE,TRUE,TRUE,,,,,,Sao Tome and Principe,Sierra Leone,San Marino,South Sudan,Singapore,Trinidad and Tobago
Peru,7,TRUE,TRUE,TRUE,,,,,,Saudi Arabia,Singapore,Sao Tome and Principe,Spain,Slovakia,Tunisia
Philippines,7,TRUE,TRUE,TRUE,,,,,,Senegal,Slovakia,Saudi Arabia,Sri Lanka,Slovenia,Turkey
Poland,7,TRUE,TRUE,TRUE,,,,,,Serbia,Slovenia,Scotland,Sudan,Solomon Islands,Turkmenistan
Portugal,7,TRUE,TRUE,TRUE,,,,,,Seychelles,Solomon Islands,Serbia,Suriname,Somalia,Tuvalu
Qatar,7,TRUE,TRUE,TRUE,,,,,,Singapore,South Korea,Sierra Leone,Switzerland,South Korea,Ukraine
Romania,7,TRUE,TRUE,TRUE,,,,,,Sint Maarten (Dutch part),South Sudan,Singapore,Syria,South Sudan,United Arab Emirates
Russia,7,TRUE,TRUE,TRUE,,,,,,Slovakia,Spain,Slovakia,Tajikistan,South Yemen,United Kingdom
Rwanda,7,TRUE,TRUE,TRUE,,,,,,Slovenia,Sri Lanka,Slovenia,Tanzania,Spain,United States
Saudi Arabia,7,TRUE,TRUE,TRUE,,,,,,Sudan,Tanzania,Sweden,Turkmenistan,Taiwan,Zambia
Serbia,7,TRUE,TRUE,TRUE,,,,,,Sweden,Togo,Syria,United Arab Emirates,Tanzania,
Singapore,7,TRUE,TRUE,TRUE,,,,,,Tajikistan,Tunisia,Thailand,United States Virgin Islands,Trinidad and Tobago,
Slovakia,7,TRUE,TRUE,TRUE,,,,,,Thailand,Turkmenistan,Trinidad and Tobago,Uzbekistan,Turkey,
Slovenia,7,TRUE,TRUE,TRUE,,,,,,Togo,Tuvalu,Tunisia,Vanuatu,Turkmenistan,
South Korea,7,TRUE,TRUE,TRUE,,,,,,Turkey,United Kingdom,Tuvalu,Zambia,United Kingdom,
Spain,7,TRUE,TRUE,TRUE,,,,,,Turks and Caicos Islands,Uruguay,Ukraine,,Uruguay,
Sri Lanka,7,TRUE,TRUE,TRUE,,,,,,Tuvalu,Uzbekistan,United Arab Emirates,,Uzbekistan,
Sweden,7,TRUE,TRUE,TRUE,,,,,,United Arab Emirates,Vietnam,United States Virgin Islands,,Venezuela,
Switzerland,7,TRUE,TRUE,TRUE,,,,,,United Kingdom,Yemen,Uruguay,,Vietnam,
Syria,7,TRUE,TRUE,TRUE,,,,,,United States,Zambia,Uzbekistan,,Wallis and Futuna,
Tanzania,7,TRUE,TRUE,TRUE,,,,,,Vanuatu,,Venezuela,,Yemen,
Thailand,7,TRUE,TRUE,TRUE,,,,,,Vietnam,,Vietnam,,Yemen Arab Republic,
Trinidad and Tobago,7,TRUE,TRUE,TRUE,,,,,,,,Zimbabwe,,Zimbabwe,
Tunisia,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Turkey,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Uganda,7,TRUE,TRUE,TRUE,,,,,,,,,,,
United Arab Emirates,7,TRUE,TRUE,TRUE,,,,,,,,,,,
United Kingdom,7,TRUE,TRUE,TRUE,,,,,,,,,,,
United States,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Uruguay,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Uzbekistan,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Vietnam,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Zambia,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Zimbabwe,7,TRUE,TRUE,TRUE,,,,,,,,,,,
Afghanistan,6,TRUE,TRUE,TRUE,,,,,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Albania
Andorra,6,TRUE,TRUE,TRUE,,,,,Andorra,Andorra,Andorra,American Samoa,Angola,Andorra,Angola
Belgium,6,TRUE,TRUE,TRUE,,,,,Botswana,Belize,Benin,Belarus,Bolivia,Benin,Bhutan
Bhutan,6,FALSE,TRUE,TRUE,,,,,Cambodia,Bolivia,Botswana,Bolivia,Brunei,Botswana,Brazil
Bosnia and Herzegovina,6,FALSE,TRUE,TRUE,,,,,Chile,Brazil,Bulgaria,Brazil,Burundi,Bulgaria,Burkina Faso
Burundi,6,FALSE,TRUE,TRUE,,,,,Czech Republic,Canada,Central African Republic,Cape Verde,Chile,Chad,China
Cuba,6,TRUE,FALSE,TRUE,,,,,Guyana,Democratic Republic of Congo,Djibouti,Egypt,Ecuador,East Timor,El Salvador
Czechia,6,FALSE,TRUE,TRUE,,,,,Hungary,Dominica,East Timor,Eritrea,Equatorial Guinea,El Salvador,Eswatini
Denmark,6,TRUE,TRUE,TRUE,,,,,India,East Timor,Egypt,Eswatini,Estonia,Eritrea,France
East Timor,6,FALSE,TRUE,TRUE,,,,,Ireland,Equatorial Guinea,Estonia,France,Finland,Falkland Islands,Ghana
Eswatini,6,FALSE,TRUE,TRUE,,,,,Kazakhstan,France,Gambia,Greece,Ghana,Gambia,India
Ethiopia,6,TRUE,TRUE,TRUE,,,,,Kenya,Gabon,Georgia,Greenland,Greece,Georgia,Indonesia
