country,year,terror,norm_terror,norm_terror_withpts_log16
Tunisia,2019.0,9.6,0.9946990612921038,15.915184980673661
Chad,2019.0,9.8,0.9945886250690227,15.913418001104363
Italy,2019.0,9.8,0.9945886250690227,15.913418001104363
Burundi,2019.0,10.0,0.9944781888459415,15.911651021535064
Lebanon,2019.0,10.0,0.9944781888459415,15.911651021535064
Canada,2019.0,10.8,0.9940364439536168,15.904583103257869
Netherlands,2019.0,10.8,0.9940364439536168,15.904583103257869
Venezuela,2019.0,11.2,0.9938155715074545,15.901049144119272
Sri Lanka,2019.0,13.0,0.992821645499724,15.885146327995583
Russia,2019.0,15.8,0.9912755383765876,15.8604086140254
Mexico,2019.0,23.0,0.9872998343456654,15.796797349530646
Germany,2019.0,23.0,0.9872998343456654,15.796797349530646
France,2019.0,23.8,0.9868580894533407,15.789729431253452
South Africa,2019.0,25.0,0.9861954721148537,15.77912755383766
Indonesia,2019.0,28.2,0.984428492545555,15.75085588072888
Bangladesh,2019.0,29.2,0.9838763114301491,15.742020982882385
Ethiopia,2019.0,30.6,0.9831032578685809,15.729652125897294
Niger,2019.0,30.8,0.9829928216454997,15.727885146327996
Central African Republic,2019.0,31.6,0.982551076753175,15.7208172280508
Greece,2019.0,32.6,0.9819988956377692,15.711982330204307
South Sudan,2019.0,33.2,0.9816675869685256,15.70668139149641
Ukraine,2019.0,35.4,0.9804527885146328,15.687244616234125
Chile,2019.0,38.0,0.9790171176145775,15.66427388183324
Sudan,2019.0,44.0,0.9757040309221424,15.611264494754279
Kenya,2019.0,59.6,0.9670900055218111,15.473440088348978
Eastern Europe,2019.0,60.8,0.9664273881833241,15.462838210933185
Israel,2019.0,66.0,0.9635560463832137,15.416896742131419
United States,2019.0,68.6,0.9621203754831584,15.393926007730535
Saudi Arabia,2019.0,69.6,0.9615681943677526,15.385091109884042
Turkey,2019.0,75.8,0.9581446714522364,15.330314743235782
West Bank and Gaza Strip,2019.0,80.4,0.9556046383213694,15.289674213141911
Egypt,2019.0,82.0,0.9547211485367201,15.275538376587521
Burkina Faso,2019.0,85.6,0.9527332965212589,15.243732744340143
United Kingdom,2019.0,87.8,0.9515184980673661,15.224295969077858
Libya,2019.0,90.6,0.9499723909442297,15.199558255107675
Mozambique,2019.0,94.8,0.9476532302595251,15.162451684152401
Myanmar,2019.0,105.4,0.941800110436223,15.068801766979568
Thailand,2019.0,111.4,0.938487023743788,15.015792379900608
Nepal,2019.0,117.2,0.935284373274434,14.964549972390945
Mali,2019.0,131.8,0.9272225289895085,14.835560463832136
Cameroon,2019.0,136.8,0.9244616234124793,14.791385974599669
Colombia,2019.0,160.4,0.9114301490889012,14.582882385422419
Democratic Republic of Congo,2019.0,201.6,0.88868028713418,14.21888459414688
Western Europe,2019.0,217.2,0.8800662617338487,14.08106018774158
Syria,2019.0,235.6,0.869906129210381,13.918498067366096
Somalia,2019.0,382.0,0.7890668139149641,12.625069022639426
Pakistan,2019.0,401.2,0.7784649364991717,12.455438983986747
Philippines,2019.0,432.2,0.7613473219215903,12.181557150745444
Nigeria,2019.0,514.2,0.7160684704583102,11.457095527332964
Yemen,2019.0,517.6,0.7141910546659305,11.427056874654888
India,2019.0,632.6,0.6506902263942573,10.411043622308117
Iraq,2019.0,1173.4,0.3520706791827719,5.6331308669243505
Afghanistan,2019.0,1811.0,0.0,0.0
