country,year,homicide_rate,norm_homicide,homicide_norm_withpts,homicide_norm_withpts_log16
New Caledonia,2009,3.113125,0.951092741,4.755463705,15.21748386
New Zealand,2014,1.149275389,0.98194486,4.909724298,15.71111775
Nicaragua,2014,9.928204118,0.844027705,4.220138526,13.50444328
Niger,2011.5,4.59852815,0.927757026,4.638785132,14.84411242
Nigeria,2017.5,27.6724925,0.565264563,2.826322814,9.044233005
North Macedonia,2014,1.370387361,0.978471186,4.892355929,15.65553897
Northern Ireland,2014,1.233763609,0.980617548,4.903087739,15.68988077
Norway,2014,0.722261596,0.988653255,4.943266276,15.81845208
Oman,2014,0.903935316,0.985799157,4.928995786,15.77278652
Pakistan,2014,5.451962127,0.914349561,4.571747804,14.62959297
Palau,2016.5,7.01375075,0.889813829,4.449069144,14.23702126
Palestine,2014,0.74490121,0.988297586,4.941487932,15.81276138
Panama,2014,13.215505,0.792384139,3.961920697,12.67814623
Papua New Guinea,2009.5,9.436908,0.851745978,4.258729888,13.62793564
Paraguay,2014,10.39645518,0.836671471,4.183357356,13.38674354
Peru,2015,7.058642,0.889108586,4.445542931,14.22573738
Philippines,2014,8.0352465,0.873766109,4.368830545,13.98025775
Poland,2014,0.840232395,0.986799931,4.933999657,15.7887989
Polynesia,2014,3.147617845,0.950550858,4.752754288,15.20881372
Portugal,2014.5,0.950702327,0.985064447,4.925322233,15.76103114
Puerto Rico,2014,23.38273573,0.632656732,3.163283658,10.12250771
Qatar,2014,0.370413075,0.994180803,4.970904014,15.90689285
Reunion,2009,1.6985407,0.97331589,4.86657945,15.57305424
Romania,2014,1.310448718,0.979412823,4.897064116,15.67060517
Russia,2014,10.60389245,0.833412627,4.167063136,13.33460204
Rwanda,2014.888889,3.027760456,0.95243382,4.762169099,15.23894112
Saint Helena,2009,0,1,5,16
Saint Kitts and Nevis,2014,49.34848513,0.224734264,1.123671322,3.59574823
Saint Lucia,2014,22.14144845,0.652157381,3.260786903,10.43451809
Saint Martin (French part),2013.5,19.75911633,0.689583868,3.447919341,11.03334189
Saint Pierre and Miquelon,2009,16.518005,0.740501795,3.702508976,11.84802872
Saint Vincent and the Grenadines,2014.833333,28.152175,0.557728741,2.788643703,8.923659851
Samoa,2013.4,5.81463678,0.908651934,4.543259672,14.53843095
San Marino,2010,0,1,5,16
Sao Tome and Principe,2010,3.108733933,0.951161725,4.755808624,15.2185876
Saudi Arabia,2018.5,0.717575,0.988726882,4.943634409,15.81963011
Scotland,2014,1.320286309,0.979258274,4.896291372,15.66813239
Serbia,2014,1.536556827,0.97586066,4.8793033,15.61377056
Seychelles,2014,11.40774301,0.820784118,4.103920591,13.13254589
Sierra Leone,2011.4,2.24883274,0.964670791,4.823353953,15.43473265
Singapore,2014,0.268110424,0.99578798,4.978939898,15.93260767
Slovakia,2014,1.373911479,0.978415822,4.892079109,15.65465315
Slovenia,2014,0.691000271,0.989144371,4.945721856,15.82630994
South Africa,2014,33.10477855,0.479923235,2.399616176,7.678771763
South Korea,2014,0.765223007,0.987978331,4.939891653,15.80765329
South Sudan,2012,14.0539665,0.779211892,3.896059459,12.46739027
Spain,2014,0.723375352,0.988635758,4.94317879,15.81817213
Sri Lanka,2014,3.103688155,0.951240994,4.75620497,15.2198559
Suriname,2016,5.891982629,0.907436829,4.537184147,14.51898927
Sweden,2014,0.981866043,0.984574864,4.922874319,15.75319782
Switzerland,2014,0.595969995,0.990637299,4.953186494,15.85019678
Syria,2009.5,2.12675245,0.966588674,4.832943372,15.46541879
Tajikistan,2010,1.7640265,0.972287107,4.861435534,15.55659371
Tanzania,2014.555556,6.8798212,0.891917865,4.459589324,14.27068584
Thailand,2010,5.208524667,0.918173968,4.590869842,14.69078349
Tonga,2013.166667,3.608267972,0.943314035,4.716570173,15.09302455
Trinidad and Tobago,2014,30.98342491,0.513249745,2.566248726,8.211995924
Tunisia,2012.5,3.174871525,0.950122702,4.750613509,15.20196323
Turkey,2014.75,3.360414725,0.947207814,4.736039071,15.15532503
Turkmenistan,2012.5,1.5801102,0.975176436,4.875882178,15.60282297
Turks and Caicos Islands,2013.75,13.69941035,0.784781976,3.923909881,12.55651162
Tuvalu,2012.2,7.4500034,0.88296029,4.414801452,14.12736465
Uganda,2013.9,11.1626563,0.824634436,4.123172178,13.19415097
Ukraine,2014.142857,5.066144629,0.920410762,4.602053808,14.72657219
United Arab Emirates,2013.428571,0.698611556,0.989024798,4.945123989,15.82439677
United Kingdom,2014,1.065883631,0.983254946,4.916274729,15.73207913
United States,2014,4.849180845,0.923819267,4.619096336,14.78110828
United States Virgin Islands,2010.5,48.00396175,0.245856755,1.229283774,3.933708076
Uruguay,2014,8.252915291,0.870346528,4.351732639,13.92554444
Uzbekistan,2017,1.71064584,0.973125718,4.86562859,15.57001149
Vanuatu,2019,0.6570205,0.989678194,4.948390971,15.83485111
Vatican,2012.875,0,1,5,16
Venezuela,2013.666667,50.86681689,0.200881241,1.004406203,3.214099848
Vietnam,2010,1.497070133,0.976480997,4.882404984,15.62369595
Yemen,2011,5.28646288,0.916949557,4.584747787,14.67119292
Zambia,2012,5.747617243,0.909704813,4.548524063,14.555277
Zimbabwe,2014.75,5.738525825,0.909847639,4.549238195,14.55756222
