level_0,index,country,year,one_pct_value,country_c,norm_one_pct,one_pct_log16
0,139,Netherlands,2022.5,6.69,Netherlands,1.0,16.0
1,146,North Macedonia,2022.5,6.995,North Macedonia,0.9849084611578427,15.758535378525483
2,178,Slovenia,2022.5,7.84499985,Slovenia,0.9428500816427512,15.085601306284019
3,88,Iceland,2022.5,7.92,Iceland,0.9391390400791687,15.0262246412667
4,177,Slovakia,2022.5,8.215,Slovakia,0.9245423057892133,14.792676892627412
5,18,Belgium,2022.5,8.425,Belgium,0.9141514101929737,14.62642256308758
6,50,Cyprus,2022.5,8.435,Cyprus,0.9136566056407719,14.61850569025235
7,81,Guinea,2022.5,8.55,Guinea,0.9079663532904503,14.527461652647204
8,104,Kosovo,2022.5,8.87,Kosovo,0.8921326076199901,14.274121721919842
9,122,Malta,2022.5,8.875,Malta,0.8918852053438892,14.270163285502226
10,47,Croatia,2022.5,8.975,Croatia,0.8869371598218704,14.190994557149926
11,1,Albania,2022.5,9.1299995,Albania,0.8792677140029688,14.0682834240475
12,204,Ukraine,2022.5,9.225,Ukraine,0.8745670460168233,13.993072736269173
13,17,Belarus,2022.5,9.255,Belarus,0.8730826323602177,13.969322117763483
14,25,Bosnia and Herzegovina,2022.5,9.355,Bosnia and Herzegovina,0.8681345868381989,13.890153389411182
15,114,Lithuania,2022.5,9.48500025,Lithuania,0.8617021152894606,13.78723384463137
16,158,Portugal,2022.5,9.565,Portugal,0.8577436912419595,13.723899059871352
17,51,Czechia,2022.5,9.6450005,Czechia,0.8537852300841168,13.660563681345868
18,124,Mauritania,2022.5,9.8,Mauritania,0.8461157842652152,13.537852548243443
19,147,Norway,2022.5,9.8300005,Norway,0.844631345868382,13.514101533894111
20,131,Montenegro,2022.5,9.909999,Montenegro,0.8406729836714498,13.450767738743197
21,87,Hungary,2022.5,9.96,Hungary,0.8381989114299851,13.411182582879762
22,189,Switzerland,2022.5,10.115,Switzerland,0.830529440870856,13.288471053933696
23,10,Australia,2022.5,10.4049995,Australia,0.8161801335972291,13.058882137555665
24,108,Latvia,2022.5,10.7,Latvia,0.801583374567046,12.825333993072736
25,128,Moldova,2022.5,10.7049995,Moldova,0.8013359970311726,12.821375952498762
26,82,Guinea-Bissau,2022.5,10.84,Guinea-Bissau,0.7946561108362197,12.714497773379515
27,70,Gabon,2022.5,10.89,Gabon,0.7921820880752103,12.674913409203365
28,188,Sweden,2022.5,11.17499975,Sweden,0.7780801707075705,12.449282731321128
29,67,Finland,2022.5,11.25000025,Finland,0.7743691118258288,12.38990578921326
30,144,Nigeria,2022.5,11.42,Nigeria,0.7659574468085106,12.25531914893617
31,94,Isle of Man,2022.5,11.5,Isle of Man,0.7619990103908956,12.19198416625433
32,3,Andorra,2022.5,11.5,Andorra,0.7619990103908956,12.19198416625433
33,99,Jersey,2022.5,11.5,Jersey,0.7619990103908956,12.19198416625433
34,113,Liechtenstein,2022.5,11.5,Liechtenstein,0.7619990103908956,12.19198416625433
35,80,Guernsey,2022.5,11.5,Guernsey,0.7619990103908956,12.19198416625433
36,168,San Marino,2022.5,11.5,San Marino,0.7619990103908956,12.19198416625433
37,129,Monaco,2022.5,11.5,Monaco,0.7619990103908956,12.19198416625433
38,75,Gibraltar,2022.5,11.5,Gibraltar,0.7619990103908956,12.19198416625433
39,35,Canada,2022.5,11.92,Canada,0.7412172191984165,11.859475507174665
40,121,Mali,2022.5,11.93,Mali,0.7407224146462148,11.851558634339437
