country,year,safe,basic_notshared,limited_shared,unimproved,open_def,atleast_basicsan,country_c,norm_basicsan,basicsan_log32_n
Suriname,2019.5,25.4532035,63.80342116666666,6.417812966666666,2.7327041,1.5928588000000001,95.67443763333333,Suriname,0.9567443524147246,30.615819277271186
Paraguay,2019.5,54.064426166666664,38.095493166666664,3.440924916666667,3.8261792,0.5729759433333333,95.60084425,Paraguay,0.9560084185997896,30.592269395193266
Lithuania,2019.5,93.93136916666667,0.09233616699999998,1.5597091,4.416586716666667,0.0,95.58341443366668,Lithuania,0.9558341204408138,30.586691854106043
Tuvalu,2019.5,38.436224833333334,45.0652955,11.30894475,1.8972351166666668,3.2922989166666667,94.81046508333333,Tuvalu,0.9481046271307176,30.339348068182964
Latvia,2019.0,83.45664719999999,8.95805268,2.1884214799999997,5.396880680000001,0.0,94.60312135999999,Latvia,0.9460311899492202,30.272998078375046
China,2019.5,62.821069,29.2089785,2.437594483333333,5.268453316666666,0.2639057183333333,94.46764198333332,China,0.9446763962164234,30.22964467892555
Armenia,2019.5,10.8890935,82.92616583333334,0.4352119116666667,5.738807616666667,0.010721733499999999,94.25047124500001,Armenia,0.9425046888873829,30.160150044396254
French Guiana,2019.5,74.48182916666667,18.847972333333335,0.0,6.670199149999999,0.0,93.3298015,French Guiana,0.9332979916675503,29.86553573336161
Philippines,2019.5,60.22630316666667,21.612980833333335,11.241931083333334,2.9386802000000003,3.9801051333333333,93.08121508333335,Philippines,0.9308121275630303,29.78598808201697
Honduras,2019.5,51.90493016666667,30.447137666666666,8.622376166666667,3.5098990666666663,5.515657,90.974444,Honduras,0.9097444172563897,29.11182135220447
Mongolia,2019.5,64.15088933333334,3.8716843166666663,22.340863666666667,3.41385685,6.222704816666667,90.36343731666666,Mongolia,0.9036343505758079,28.916299218425852
Vietnam,2019.5,42.525608999999996,45.023761,2.59748215,8.417427783333332,1.4357214166666665,90.14685215,Vietnam,0.9014684989632876,28.846991966825204
South Africa,2019.5,69.8957615,5.85283935,14.022812,9.467172,0.76141214,89.77141285,South Africa,0.8977141060571474,28.726851393828717
Brazil,2019.5,48.06583800000001,41.47420483333333,0.14918700583333333,9.810120666666666,0.5006489783333333,89.68922983916667,Brazil,0.8968922759693598,28.700552831019515
Russia,2019.5,60.76274083333333,28.0647495,0.0,11.172509333333332,0.0,88.82749033333333,Russia,0.8882748811264614,28.424796196046763
Morocco,2019.5,60.166259333333336,26.22674616666667,1.9886866,10.70962575,0.9086810333333334,88.3816921,Morocco,0.8838168989045775,28.28214076494648
Georgia,2019.5,25.760625,60.73218516666666,1.0785104166666668,12.413089833333332,0.015588495666666667,87.57132058333332,Georgia,0.8757131839405037,28.022821886096118
Romania,2019.5,82.9127825,3.9218739666666664,0.2570994416666667,12.908242333333334,0.0,87.09175590833334,Romania,0.870917537310395,27.86936119393264
Peru,2019.5,51.45459400000001,25.544023999999997,9.400928500000001,9.119017166666668,4.481435583333333,86.39954650000001,Peru,0.8639954434001141,27.647854188803652
Nepal,2019.5,46.776919166666666,27.4043365,11.4674775,2.680953066666667,11.670314083333333,85.64873316666666,Nepal,0.8564873102544839,27.407593928143484
Bhutan,2019.5,49.77043116666667,26.034886333333333,9.733143166666666,14.187460833333333,0.27407865833333334,85.53846066666667,Bhutan,0.8553845852820521,27.372306729025667
Myanmar,2019.5,60.736980499999994,12.586904166666665,11.501827916666665,8.078591333333334,7.0956959,84.82571258333333,Myanmar,0.8482571046269057,27.144227348060983
India,2019.5,46.82179233333333,24.293049166666666,10.699018666666667,0.2941846101666667,17.891955,81.81386016666667,India,0.8181385812132023,26.180434598822472
Laos,2019.5,60.274504666666665,17.756701,2.9722961333333333,1.5268936999999998,17.469604333333333,81.0035018,Laos,0.810034997749125,25.921119927972
Bangladesh,2019.5,28.243626000000003,27.384972666666666,24.5222175,19.548082833333336,0.3011011903333333,80.15081616666667,Bangladesh,0.8015081416289632,25.648260532126823
Cambodia,2019.5,32.854200999999996,35.74214933333334,7.854506216666667,3.49787455,20.05126866666667,76.45085655,Cambodia,0.7645085463872864,24.464273484393164
Senegal,2019.5,14.511097,43.05731083333333,16.553734666666667,16.397639583333333,9.480217666666666,74.1221425,Senegal,0.7412214064694649,23.719085007022876
Djibouti,2019.5,39.09562916666667,26.97646616666667,6.9166514,10.719406666666666,16.291846,72.98874673333334,Djibouti,0.7298874490861472,23.35639837075671
Ghana,2019.5,14.379890833333334,11.225245333333334,45.85025733333333,10.952232166666667,17.592374166666666,71.4553935,Ghana,0.7145539171361521,22.865725348356868
Lesotho,2019.5,45.778287666666664,2.6252044166666666,20.159762833333332,13.08562425,18.351121000000003,68.56325491666666,Lesotho,0.6856325320258534,21.94024102482731
