country,year,equal_rights,country_c,norm_equal_rights,equal_rights_log8
Benin,2021.5,0.774,Benin,0.777637054459924,6.221096435679392
Ghana,2021.5,0.7719999999999999,Ghana,0.7754658946987515,6.203727157590012
Vanuatu,2021.5,0.7706666666666667,Vanuatu,0.77401845485797,6.19214763886376
Bhutan,2021.5,0.7693333333333333,Bhutan,0.7725710150171883,6.180568120137506
South Africa,2021.5,0.7648333333333334,South Africa,0.7676859055545504,6.141487244436403
Maldives,2021.5,0.7646666666666667,Maldives,0.7675049755744527,6.140039804595622
Hong Kong,2021.5,0.7639999999999999,Hong Kong,0.7667812556540617,6.134250045232494
Gabon,2021.5,0.7635000000000001,Gabon,0.7662384657137689,6.129907725710151
Jamaica,2021.5,0.7635000000000001,Jamaica,0.7662384657137689,6.129907725710151
Barbados,2021.5,0.759,Barbados,0.7613533562511309,6.090826850009047
Greece,2021.5,0.7553333333333333,Greece,0.7573728966889813,6.058983173511851
Lesotho,2021.5,0.7525,Lesotho,0.7542970870273203,6.034376696218563
Algeria,2021.5,0.7525,Algeria,0.7542970870273203,6.034376696218563
Tanzania,2021.5,0.751,Tanzania,0.7526687172064411,6.021349737651529
Burkina Faso,2021.5,0.751,Burkina Faso,0.7526687172064411,6.021349737651529
Romania,2021.5,0.7503333333333333,Romania,0.7519449972860502,6.015559978288402
Sao Tome and Principe,2021.5,0.7421666666666668,Sao Tome and Principe,0.7430794282612629,5.9446354260901035
Kosovo,2021.5,0.7315,Kosovo,0.73149990953501,5.85199927628008
Moldova,2021.5,0.731,Moldova,0.7309571195947169,5.847656956757735
Malawi,2021.5,0.7213333333333334,Malawi,0.7204631807490501,5.763705445992401
Argentina,2021.5,0.7126666666666667,Argentina,0.7110548217839696,5.688438574271757
Comoros,2021.5,0.7120000000000001,Comoros,0.7103311018635788,5.682648814908631
Solomon Islands,2021.5,0.7094999999999999,Solomon Islands,0.7076171521621132,5.6609372172969055
Guinea-Bissau,2021.5,0.7071666666666666,Guinea-Bissau,0.7050841324407454,5.640673059525963
United States,2021.5,0.7048333333333333,United States,0.7025511127193775,5.62040890175502
Fiji,2021.5,0.7026666666666667,Fiji,0.7001990229781074,5.6015921838248595
Cuba,2021.5,0.6951666666666667,Cuba,0.6920571738737109,5.536457390989687
Cameroon,2021.5,0.6934999999999999,Cameroon,0.6902478740727337,5.5219829925818695
Suriname,2021.5,0.6878333333333333,Suriname,0.6840962547494119,5.4727700379952955
Botswana,2021.5,0.6876666666666668,Botswana,0.6839153247693144,5.471322598154515
Nepal,2021.5,0.684,Nepal,0.6799348652071648,5.439478921657319
Sierra Leone,2021.5,0.6783333333333333,Sierra Leone,0.673783245883843,5.390265967070744
East Timor,2021.5,0.6763333333333333,Timor-Leste,0.6716120861226705,5.372896688981364
Jordan,2021.5,0.6741666666666667,Jordan,0.6692599963814004,5.3540799710512035
Belarus,2021.5,0.6726666666666666,Belarus,0.6676316265605211,5.341053012484169
Hungary,2021.5,0.6725,Hungary,0.6674506965804233,5.339605572643387
Kyrgyzstan,2021.5,0.6723333333333333,Kyrgyz Republic,0.6672697666003257,5.338158132802605
Bulgaria,2021.5,0.6723333333333333,Bulgaria,0.6672697666003257,5.338158132802605
Guyana,2021.5,0.672,Guyana,0.6669079066401303,5.335263253121043
Albania,2021.5,0.6713333333333334,Albania,0.6661841867197396,5.3294734937579165
Togo,2021.5,0.6676666666666667,Togo,0.6622037271575901,5.297629817260721
Cote d'Ivoire,2021.5,0.6641666666666667,Cote d'Ivoire,0.6584041975755383,5.267233580604306
Morocco,2021.5,0.6598333333333334,Morocco,0.653700018092998,5.229600144743984
Ukraine,2021.5,0.6538333333333334,Ukraine,0.6471865388094807,5.177492310475846
Zimbabwe,2021.5,0.648,Zimbabwe,0.6408539895060612,5.12683191604849
Azerbaijan,2021.5,0.648,Azerbaijan,0.6408539895060612,5.12683191604849
North Macedonia,2021.5,0.6458333333333334,North Macedonia,0.6385018997647911,5.108015198118329
Nigeria,2021.5,0.6458333333333334,Nigeria,0.6385018997647911,5.108015198118329
Bolivia,2021.5,0.6405,Bolivia,0.6327121404016646,5.0616971232133166
Malaysia,2021.5,0.6278333333333334,Malaysia,0.6189614619142392,4.951691695313913
Canada,2021.5,0.6136666666666667,Canada,0.6035824136059346,4.8286593088474765
Kuwait,2021.5,0.604,Kuwait,0.5930884747602677,4.744707798082142
Colombia,2021.5,0.6016666666666667,Colombia,0.5905554550389,4.7244436403112
Papua New Guinea,2021.5,0.6001666666666666,Papua New Guinea,0.5889270852180206,4.711416681744165
Guinea,2021.5,0.5901666666666666,Guinea,0.5780712864121584,4.6245702912972675
Ethiopia,2021.5,0.5845,Ethiopia,0.5719196670888367,4.5753573367106934
Liberia,2021.5,0.5844999999999999,Liberia,0.5719196670888366,4.575357336710693
Bosnia and Herzegovina,2021.5,0.5828333333333333,Bosnia and Herzegovina,0.5701103672878596,4.560882938302877
Oman,2021.5,0.5821666666666666,Oman,0.5693866473674687,4.5550931789397495
Lebanon,2021.5,0.5803333333333334,Lebanon,0.5673964175863941,4.539171340691153
Turkey,2021.5,0.5801666666666666,Türkiye,0.5672154876062964,4.537723900850371
Panama,2021.5,0.5736666666666667,Panama,0.560159218382486,4.481273747059888
Zanzibar,2021.5,0.573,Zanzibar,0.5594354984620952,4.475483987696761
Peru,2021.5,0.5676666666666667,Peru,0.5536457390989687,4.42916591279175
Vietnam,2021.5,0.5655,Vietnam,0.5512936493576985,4.410349194861588
Rwanda,2021.5,0.5655,Rwanda,0.5512936493576985,4.410349194861588
Mozambique,2021.5,0.5599999999999999,Mozambique,0.5453229600144743,4.362583680115795
Sri Lanka,2021.5,0.547,Sri Lanka,0.5312104215668537,4.24968337253483
India,2021.5,0.5463333333333333,India,0.5304867016464628,4.243893613171703
Kazakhstan,2021.5,0.5455,Kazakhstan,0.5295820517459743,4.236656413967794
Djibouti,2021.5,0.5425000000000001,Djibouti,0.5263253121042157,4.210602496833726
Brazil,2021.5,0.5381666666666667,Brazil,0.5216211326216754,4.172969060973403
Iran,2021.5,0.5341666666666667,Iran,0.5172788130993305,4.138230504794644
Zambia,2021.5,0.5338333333333334,Zambia,0.5169169531391352,4.135335625113082
Kenya,2021.5,0.5281666666666667,Kenya,0.5107653338158133,4.086122670526507
