index,country,year,internet,norm_internet,norm_internet_log8
41,Finland,2020.0,33.10425714,0.5858663743747741,4.6869309949981925
42,San Marino,2019.5,32.6835,0.5784198045856968,4.627358436685574
43,Uruguay,2020.0,30.92234286,0.5472508039775507,4.378006431820405
44,Slovenia,2020.0,30.81691429,0.5453849266587067,4.363079413269654
45,Bulgaria,2020.0,30.81425714,0.5453379003553265,4.362703202842612
46,Slovakia,2020.0,30.52937143,0.5402959863394982,4.322367890715985
47,Curacao,2019.5,30.50418333,0.5398502067515291,4.3188016540122325
48,Ireland,2020.0,30.46417143,0.5391420752014773,4.313136601611818
49,Italy,2020.0,30.21617143,0.5347529653513362,4.27802372281069
50,Saudi Arabia,2020.0,30.15067143,0.5335937448062384,4.268749958449908
52,Macao,2020.0,29.6043,0.5239240503495907,4.191392402796725
53,Romania,2020.0,29.43744286,0.5209710087498312,4.167768069998649
54,Israel,2020.0,29.08421429,0.5147195611855641,4.1177564894845124
55,Austria,2020.0,28.96674286,0.5126405490463578,4.1011243923708625
56,Montenegro,2020.0,28.94268571,0.512214785038167,4.097718280305336
57,Lithuania,2020.0,28.40332857,0.5026692296514013,4.02135383721121
58,Croatia,2020.0,27.5384,0.4873617034165004,3.8988936273320034
59,Greenland,2019.5,26.95606667,0.47705555440533737,3.816444435242699
60,Singapore,2020.0,26.94518571,0.4768629829185834,3.8149038633486674
62,Latvia,2020.0,26.38712857,0.4669864744906982,3.7358917959255855
63,Serbia,2020.0,25.60065714,0.45306748457026463,3.624539876562117
64,Grenada,2019.5,25.55738333,0.45230162366008675,3.618412989280694
65,Georgia,2020.0,25.31157143,0.44795123885536137,3.583609910842891
66,Seychelles,2020.0,25.25948571,0.4470294245541368,3.5762353964330944
67,Saint Vincent and the Grenadines,2020.0,24.71811429,0.43744822039241565,3.4995857631393252
68,Trinidad and Tobago,2020.0,24.57584286,0.4349302972681953,3.4794423781455626
69,North Macedonia,2019.5,24.50068333,0.43360012213329624,3.46880097706637
70,Mauritius,2020.0,24.03587143,0.42537387016251893,3.4029909613001514
71,Bosnia and Herzegovina,2020.0,23.94812857,0.4238209949564482,3.3905679596515856
73,French Polynesia,2019.5,23.62385,0.41808190517509075,3.344655241400726
74,Moldova,2020.0,23.13935714,0.4095073391099738,3.2760587128797902
75,Russia,2019.5,22.85453333,0.4044665206018056,3.235732164814445
76,Poland,2020.0,22.24034286,0.3935965631754356,3.148772505403485
77,Dominica,2019.5,21.78048333,0.38545795836574115,3.083663666925929
78,Argentina,2020.0,21.5153,0.3807647375359178,3.046117900287342
79,Bahamas,2020.0,21.491,0.3803346755626983,3.0426774045015863
80,Puerto Rico,2020.0,20.88027143,0.36952598692419203,2.9562078953935362
81,Chile,2020.0,19.8271,0.350886934112498,2.807095472899984
82,Azerbaijan,2020.0,19.5848,0.34659870299681583,2.7727896239745267
83,New Caledonia,2020.5,19.351,0.3424609050816425,2.73968724065314
84,Costa Rica,2020.0,19.28598571,0.3413102806435823,2.7304822451486586
85,Turkey,2020.0,18.79288571,0.33258338521170916,2.6606670816936733
86,Uzbekistan,2020.0,18.21397143,0.32233774662809905,2.5787019730247924
87,Brazil,2020.0,18.11867143,0.3206511249800408,2.5652089998403262
88,Aruba,2020.5,17.6466,0.3122963936760764,2.4983711494086114
89,Mexico,2020.0,17.41134286,0.3081328072628103,2.4650624581024823
90,Vietnam,2020.0,17.31252857,0.3063839896274325,2.45107191701946
91,British Virgin Islands,2019.5,17.16386667,0.30375296781440553,2.4300237425152442
92,Albania,2020.0,16.94614286,0.2998996866890779,2.3991974935126232
93,Ukraine,2020.0,16.48792857,0.29179019937571354,2.3343215950057083
95,Suriname,2019.5,15.4117,0.27274308075639814,2.181944646051185
96,Colombia,2020.0,15.22278571,0.26939967119562636,2.155197369565011
97,Brunei,2020.0,15.21615,0.2692822322435148,2.154257857948118
99,Thailand,2020.0,15.05855714,0.2664931500897329,2.131945200717863
100,Saint Lucia,2019.5,14.8968,0.2636303684102787,2.1090429472822296
101,Armenia,2020.0,14.78,0.261563239255051,2.092505914040408
102,Panama,2020.0,14.22381429,0.2517198514394514,2.0137588115156113
103,Kazakhstan,2020.0,14.19958571,0.2512910534590767,2.0103284276726137
104,Iraq,2020.0,13.50494286,0.23899724791365315,1.9119779833092252
105,Ecuador,2020.0,13.266,0.2347684315408835,1.878147452327068
106,Bahrain,2020.0,13.25186429,0.2345182574118523,1.8761460592948185
107,Maldives,2020.0,13.21808,0.2339203422504853,1.8713627380038824
109,Jamaica,2020.0,12.68414143,0.22447068484339971,1.7957654787471977
110,Iran,2020.0,11.23041,0.19874251170278429,1.5899400936222743
111,Tunisia,2020.0,11.02828286,0.19516526081103092,1.5613220864882473
112,Guyana,2019.8,11.014104,0.19491432301228184,1.5593145840982547
113,Mongolia,2020.0,10.98297286,0.19436336336220073,1.5549069068976058
115,Qatar,2020.0,10.75448429,0.19031956726046023,1.5225565380836819
116,Oman,2020.0,10.23207714,0.1810739931965525,1.44859194557242
117,Malaysia,2020.0,10.19587714,0.18043332474262067,1.4434665979409653
118,United States Virgin Islands,2022.0,10.0662,0.1781382956599105,1.425106365279284
119,Nauru,2022.0,9.95678,0.17620177791877165,1.4096142233501732
