year,male_unemploy,female_unemploy,m_f_unemploy,norm_unemploy,unemploy_norm_withpts,unemploy_norm_withpts_log5,unemploy_log16_n
2021.0,5.319,5.6588,10.9778,0.8488276044679681,4.244138022339841,13.58124167148749,13.58124167148749
2021.0,5.4832,5.511799999999999,10.995,0.8485800875519138,4.24290043775957,13.577281400830621,13.577281400830621
2021.0,4.2052,6.937399999999999,11.142599999999998,0.8464560470397264,4.232280235198632,13.543296752635623,13.543296752635623
2021.0,5.9702,5.2844,11.2546,0.8448443089816982,4.224221544908491,13.51750894370717,13.51750894370717
2021.0,5.984999999999999,5.385800000000001,11.3708,0.8431721307464937,4.215860653732468,13.490754091943899,13.490754091943899
2021.0,5.512,5.9998,11.5118,0.8411430676555831,4.2057153382779155,13.45828908248933,13.45828908248933
2021.0,6.1444,5.3732,11.5176,0.8410596026490066,4.205298013245033,13.456953642384105,13.456953642384105
2021.0,6.635,4.925,11.559999999999999,0.8404494446698959,4.202247223349479,13.447191114718335,13.447191114718335
2021.0,5.2552,6.437,11.6922,0.8385470181406874,4.1927350907034375,13.416752290250999,13.416752290250999
2021.0,6.043200000000001,5.7768,11.82,0.8367079098923301,4.183539549461651,13.387326558277282,13.387326558277282
2021.0,5.0106,6.823,11.8336,0.8365121988424267,4.182560994212134,13.384195181478827,13.384195181478827
2021.0,4.162,7.7696,11.9316,0.8351019280416518,4.17550964020826,13.36163084866643,13.36163084866643
2021.0,5.0754,7.002800000000001,12.0782,0.8329922780478398,4.164961390239199,13.327876448765437,13.327876448765437
2021.0,5.3482,6.843000000000001,12.191200000000002,0.8313661494714362,4.156830747357181,13.301858391542979,13.301858391542979
2021.0,6.0204,6.5486,12.569,0.8259294116292657,4.129647058146329,13.214870586068251,13.214870586068251
2021.0,6.0698,6.5062,12.576,0.8258286780006389,4.129143390003194,13.213258848010222,13.213258848010222
2021.0,5.0888,7.632599999999999,12.7214,0.8237362966288772,4.118681483144385,13.179780746062034,13.179780746062034
2021.0,4.0454,8.6956,12.741,0.8234542424687221,4.117271212343611,13.175267879499554,13.175267879499554
