country_c,pm25,pol_log32_n,atleast_basicsan,basicsan_log32_n,basicw,norm_water,water_log32_n,calorie,calorie_log32_n,avg_life,lifeexpect_log32_n,pswcl_pts
Israel,20.157812,24.15036599433864,99.93924331666668,31.98055706181941,100.0,1.0,32.0,14.0,26.314720812182745,82.59,29.59515152,144.0407953883408
Hungary,16.291438,26.22070610389715,100.0000025,32.0,99.9916985714286,0.9998709750545026,31.995871201744084,6.6,29.31979695431472,75.92,24.42084848,143.95722273995597
Lithuania,10.627948,29.25335387855204,95.58341443366668,30.586691854106043,97.81236228571429,0.965998642953325,30.9119565745064,6.4,29.401015228426395,75.1,23.784727264,143.9377447995909
Albania,18.435358,25.07269415066017,99.761607915,31.92371373470716,94.61367271428573,0.9162830134003164,29.321056428810127,3.4,30.619289340101524,78.52,26.437818176,143.374571830279
Bulgaria,19.606286,24.44569345083001,99.99974591666668,31.99991789333539,99.14627857142855,0.9867310355267246,31.575393136855187,2.6,30.944162436548226,74.39,23.233939392,142.1991063095688
Russia,8.938796,30.15784970247931,88.82749033333333,28.424796196046763,96.79614128571428,0.9502040290491616,30.406528929573174,0.5,31.79695431472081,71.84,21.255757568,142.04188671082005
Malaysia,21.344178,23.515098657444568,99.86537271666668,31.95691847041038,97.09568442857145,0.9548596780556948,30.55550969778224,0.5,31.79695431472081,75.52,24.11054544,141.935026580358
Latvia,12.373456,28.318680920386264,94.60312136,30.272998078375046,98.73789571428571,0.9803837453667588,31.372279851736284,9.6,28.101522842639596,74.82,23.567515136,141.6329968291372
Dominican Republic,7.960802,30.681539393416497,96.046353,30.734832191629195,96.17566685714284,0.9405603058465392,30.097929787089253,10.4,27.77664974619289,73.13,22.256484864,141.54743598232784
Thailand,24.477594,21.83723799918119,99.94922697833334,31.98375183347288,99.72574,0.9957373142167344,31.863594054935504,3.1,30.74111675126904,76.69,25.018181824,141.44388246285862
Slovakia,18.098388,25.253132594203898,99.95399501666668,31.985277605701395,99.78759757142858,0.9966987354605032,31.8943595347361,13.3,26.598984771573605,76.93,25.204363648,140.936118154215
Türkiye,22.982844,22.637636739386508,99.12707619,31.72066358778341,96.804819,0.9503389024150076,30.410844877280248,2.7,30.903553299492387,76.82,25.119030304,140.79172880794255
Paraguay,13.4093,27.76401409807535,95.60084425,30.592269395193263,99.06683357142856,0.9854962616914898,31.535880374127675,7.9,28.79187817258883,72.85,22.039272736,140.7233147759851
