country,year,death_traffic,norm_traffic,traffic_pts
Malaysia,2014.666667,23.46666667,0.452596867230185,14.48309975136592
North Korea,2014.666667,23.66666667,0.44765045338067466,14.32481450818159
Gabon,2014.666667,23.7,0.4468260511548633,14.298433636955625
Equatorial Guinea,2014.666667,23.93333333,0.4410552350795416,14.11376752254533
Cote d'Ivoire,2014.666667,24.36666667,0.43033800490738894,13.770816157036446
Senegal,2014.666667,24.46666667,0.4278647979826339,13.691673535444284
Ghana,2014.666667,24.6,0.42456718883206723,13.586150042626151
South Africa,2014.666667,24.96666667,0.4154987633588584,13.295960427483468
Cape Verde,2014.666667,25.1,0.41220115420829173,13.190436934665335
Botswana,2014.666667,25.13333333,0.41137675198248025,13.164056063439368
Angola,2014.666667,25.16666667,0.41055234950934805,13.137675184299137
Djibouti,2014.666667,25.2,0.4097279472835367,13.111294313073174
Sudan,2014.666667,25.23333333,0.4089035450577251,13.084913441847203
Iran,2014.666667,25.26666667,0.408079142584593,13.058532562706976
Ethiopia,2014.666667,25.83333333,0.3940643035091945,12.610057712294225
Mauritania,2014.666667,25.93333333,0.39159109658443936,12.53091509070206
Yemen,2014.666667,26.16666667,0.38582028026179693,12.346248968377502
Niger,2014.666667,26.3,0.3825226711112304,12.240725475559373
Comoros,2014.666667,26.76666667,0.3709810387132664,11.871393238824524
Kenya,2014.666667,27.1,0.3627370157131895,11.607584502822064
Vietnam,2014.666667,27.2,0.36026380878843445,11.528441881229902
Sao Tome and Principe,2014.666667,27.2,0.36026380878843445,11.528441881229902
Benin,2014.666667,27.43333333,0.35449299271311274,11.343775766819608
Somalia,2014.666667,27.43333333,0.35449299271311274,11.343775766819608
Chad,2014.666667,27.6,0.350370981089414,11.211871394861248
Gambia,2014.666667,27.96666667,0.34130255561620504,10.921681779718561
Madagascar,2014.666667,28.06666667,0.33882934869144987,10.842539158126396
Congo,2014.666667,28.1,0.3380049464656384,10.816158286900428
Saudi Arabia,2014.666667,28.96666667,0.3165704863686539,10.130255563796926
Cameroon,2014.666667,29.36666667,0.3066776586696335,9.813685077428271
Lesotho,2014.666667,29.9,0.2934872218200465,9.391591098241488
Togo,2014.666667,29.9,0.2934872218200465,9.391591098241488
Guinea,2014.666667,30.2,0.2860676010457812,9.154163233464999
Tanzania,2014.666667,30.23333333,0.2852431988199696,9.127782362239028
Mozambique,2014.666667,30.46666667,0.2794723824973273,8.943116239914474
Burkina Faso,2014.666667,30.53333333,0.27782357804570434,8.890354497462539
Uganda,2014.666667,30.66666667,0.2745259686478171,8.784830996730147
Namibia,2014.666667,31.0,0.2662819456477403,8.52102226072769
Sierra Leone,2014.666667,31.13333333,0.2629843364971737,8.415498767909558
Rwanda,2014.666667,31.2,0.2613355317982301,8.362737017543363
South Sudan,2014.666667,31.7,0.2489694971744545,7.967023909582544
Eswatini,2014.666667,31.7,0.2489694971744545,7.967023909582544
Guinea-Bissau,2014.666667,31.93333333,0.24319868109913279,7.782357795172249
Malawi,2014.666667,32.13333333,0.23825226724962267,7.6240725519879256
Central African Republic,2014.666667,34.06666667,0.1904369332061434,6.093981862596589
Burundi,2014.666667,34.36666667,0.18301731243187802,5.856553997820097
Thailand,2014.666667,34.43333333,0.18136850798025506,5.803792255368162
Democratic Republic of Congo,2014.666667,34.8,0.1723000825070462,5.5136026402254785
Venezuela,2014.666667,35.03333333,0.1665292664317245,5.328936525815184
Liberia,2014.666667,35.73333333,0.14921681795843866,4.774938174670037
Eritrea,2014.666667,36.26666667,0.13602638086153096,4.352844187568991
Zimbabwe,2014.666667,39.16666667,0.0643033800436329,2.0577081613962527
Dominican Republic,2014.666667,41.76666667,0.0,0.0
