index,country_c,dep_rate,deprate_log8_n,school,school_log8_n,equal_rights,equal_rights_log8,country_x,year,lgbt_eindex,norm_lgbt_eindex,lgbt_log8_n,sui_rate,sui_log8_n,dsels_pts
144,Australia,5.9,0.9411764705882336,11.393908333333334,6.879073087047391,0.8806666666666666,7.147457933779627,Australia,2025,87.73,0.876720587,7.013764694,12.5,6.655555555555556,28.637027740970805
85,Argentina,4.7,3.76470588235294,8.673481333333333,4.832238671385109,0.7126666666666667,5.688438574271757,Argentina,2025,87.34,0.87280217,6.982417362,8.4,7.111111111111111,28.378911601120915
118,Poland,5.1,2.8235294117647065,11.410675666666668,6.8916887370631965,0.9146666666666668,7.442735661299078,Poland,2025,55.0,0.547875013,4.3830001,11.3,6.788888888888889,28.329842799015868
143,Estonia,5.9,0.9411764705882336,11.590773166666663,7.027193112359696,0.904,7.350099511489054,Estonia,2025,80.48,0.803878228,6.431025821,14.9,6.388888888888889,28.138383804325873
141,Greece,5.7,1.4117647058823524,9.935779333333334,5.781984791836666,0.7553333333333333,6.058983173511851,Greece,2025,91.82,0.917813725,7.342509796,5.1,7.477777777777778,28.073020245008646
128,Croatia,5.1,2.8235294117647065,10.668617,6.333367849432761,0.7941666666666668,6.3962366564139685,Croatia,2025,78.64,0.785391339,6.283130714,16.4,6.222222222222222,28.058486853833656
56,Mongolia,4.2,4.941176470588235,9.265464666666666,5.277643697936139,0.7988333333333334,6.436764971955854,Mongolia,2025,63.42,0.632472621,5.059780971,17.9,6.055555555555555,27.770921667035786
67,Mauritius,4.4,4.470588235294116,9.437786666666668,5.407297829502896,0.8215,6.6336167903021535,Mauritius,2025,51.28,0.510499347,4.083994775,9.5,6.988888888888889,27.584386518988055
110,Serbia,5.0,3.0588235294117645,10.704317333333334,6.36022858523537,0.7944999999999999,6.39913153609553,Serbia,2025,62.27,0.620918316,4.967346529,11.4,6.777777777777778,27.563307957520443
12,Fiji,3.5,6.588235294117647,6.951136,3.5363554501400647,0.7026666666666667,5.60159218382486,Fiji,2025,59.76,0.595699789,4.765598312,9.0,7.044444444444444,27.536225684527018
34,Vietnam,4.0,5.411764705882353,10.511194666666666,6.21492414568312,0.5655,4.410349194861588,Vietnam,2025,52.27,0.520446097,4.163568773,7.5,7.211111111111111,27.41171793053817
111,Uruguay,5.0,3.0588235294117645,8.527279333333333,4.722237085149323,0.7746666666666666,6.226886195042519,Uruguay,2025,93.18,0.931477946,7.451823571,21.2,5.688888888888888,27.148659269492498
122,Slovakia,5.1,2.8235294117647065,10.093926333333334,5.900973730828134,0.7863333333333333,6.328206983897232,Slovakia,2025,65.8,0.65638501,5.251080076,12.1,6.7,27.003790202490073
97,Albania,4.8,3.5294117647058822,8.908138,5.008793065676124,0.6713333333333334,5.3294734937579165,Albania,2025,62.27,0.620918316,4.967346529,4.3,7.566666666666666,26.40169151980659
50,Mexico,4.2,4.941176470588235,8.759,4.89658244907695,0.3553333333333333,2.5851275556359687,Mexico,2025,80.16,0.800663117,6.405304933,5.3,7.455555555555556,26.283746963856707
58,Bhutan,4.2,4.941176470588235,6.3267903,3.066601155674249,0.7693333333333333,6.180568120137506,Bhutan,2025,54.05,0.538330152,4.306641214,4.6,7.533333333333333,26.028320293733323
2,Vanuatu,3.1,7.529411764705882,5.684792833333333,2.5835657683834548,0.7706666666666667,6.19214763886376,Vanuatu,2025,44.87,0.446096654,3.568773234,18.0,6.044444444444444,25.918342850397543
101,Montenegro,4.8,3.5294117647058822,8.724674166666667,4.870755879566739,0.7836666666666666,6.305047946444725,Montenegro,2025,67.73,0.675776148,5.406209183,21.0,5.71111111111111,25.822535884828454
