country,year,happiness,norm_hap,happiness_log4_n,country_c
Burkina Faso,2022.0,4.6146,0.4540983042685653,1.8163932170742612,Burkina Faso
Benin,2022.0,4.5552,0.44388264025040414,1.7755305610016165,Benin
Kenya,2022.0,4.5234000000000005,0.4384136484022977,1.7536545936091907,Kenya
Tunisia,2022.0,4.5165999999999995,0.4372441784473565,1.748976713789426,Tunisia
Cambodia,2022.0,4.509,0.43593712379183436,1.7437484951673374,Cambodia
Uganda,2022.0,4.5008,0.43452688061087597,1.7381075224435039,Uganda
Liberia,2022.0,4.4670000000000005,0.4287139270113164,1.7148557080452655,Liberia
Bangladesh,2022.0,4.4398,0.42403604719155225,1.696144188766209,Bangladesh
Mauritania,2022.0,4.4302,0.42238503078457673,1.689540123138307,Mauritania
Mali,2022.0,4.3954,0.4164000963092904,1.6656003852371617,Mali
Myanmar,2022.0,4.3734,0.41261651704330476,1.650466068173219,Myanmar
Chad,2022.0,4.3716,0.4123069514669968,1.6492278058679872,Chad
Somalia,2024.0,4.347,0.4080762219241221,1.6323048876964883,Somalia
Jordan,2022.0,4.2326,0.3884016097409967,1.5536064389639868,Jordan
Madagascar,2022.0,4.1902,0.38110962061018805,1.5244384824407522,Madagascar
Sri Lanka,2022.0,4.1836,0.37997454683039245,1.5198981873215698,Sri Lanka
Togo,2022.0,4.1770000000000005,0.3788394730505968,1.5153578922023871,Togo
Egypt,2022.0,4.107,0.3668008117497334,1.4672032469989336,Egypt
Ethiopia,2022.0,4.0732,0.36098785815017365,1.4439514326006946,Ethiopia
India,2022.0,4.015,0.35097857118288434,1.4039142847315373,India
Eswatini,2022.0,3.995,0.347538953668352,1.390155814673408,Eswatini
Comoros,2022.0,3.9525999999999994,0.3402469645375433,1.360987858150173,Comoros
Zambia,2022.0,3.8457999999999997,0.3218794070099404,1.2875176280397616,Zambia
Burundi,2020.0,3.775,0.30970316100849576,1.238812644033983,Burundi
Yemen,2022.0,3.74425,0.3044147490799023,1.2176589963196092,Yemen
Tanzania,2022.0,3.72,0.30024421284353175,1.200976851374127,Tanzania
Haiti,2020.0,3.615,0.28218622089223677,1.128744883568947,Haiti
Malawi,2022.0,3.5052,0.2633027207374539,1.0532108829498157,Malawi
Lesotho,2022.0,3.49175,0.26098957795893096,1.0439583118357239,Lesotho
Botswana,2022.0,3.4387999999999996,0.2518831905892064,1.0075327623568255,Botswana
Sierra Leone,2022.0,3.3608000000000002,0.23846868228253018,0.9538747291301207,Sierra Leone
Rwanda,2020.5,3.3415,0.23514945138100637,0.9405978055240255,Rwanda
Democratic Republic of Congo,2023.0,3.3236666666666665,0.23208245909721498,0.9283298363888599,DR Congo
Zimbabwe,2022.0,3.2161999999999997,0.21360024765246094,0.8544009906098438,Zimbabwe
Lebanon,2022.0,3.1652,0.20482922299040343,0.8193168919616137,Lebanon
Afghanistan,2022.0,1.9742000000000002,0.0,0.0,Afghanistan
