level_0,index,pm25,pol_log32_n,atleast_basicsan,basicw,calorie,avg_life_x,pswcl_pts,rank_x,cat_a_ptsa,ineq_x,crime_rate_x,gov_x,norm_gov,terror,norm_terror,unem_x,norm_unemploy,uhc,cat_b_pts,cat_b_rank,dep_rate,school,equal_rights,lgbt_eindex,sui_rate,norm_sui_420,sui_log8_420,cat_c_pts,cat_c_rank,hdi,happiness_x,freedom,renew_x,research,cat_d_pts,rank_y,hap_420,res_420,renew_420,freedom_420,hdi_420,abcd_pts_0421,rank,all_rank,elect_dem_i,free_press,urb_pop,year_y,trust_sci,gdp,access_electricity,maternal_mortality,pct_slums,homicide_rate,under_5yo_deaths,trust_nat_gov
10,crime_rate_x,0.4865615642699953,-0.4865615642699953,-0.9861466863883979,-0.9862909917385188,0.9865796024387604,-0.9935784119196219,-0.9893935567661171,0.9956708394963744,-0.9894657094411775,0.9924961217937155,1.0,-0.48980843464771456,-0.4897362819726541,0.4906021140733793,-0.4906021140733793,0.9649337999206321,-0.9649337999206321,-0.9904758468920235,-0.9586565171903748,0.9567805476388037,-0.8358526642375266,-0.9712110826508893,-0.48670586962011614,-0.5045275803600419,-0.5232872758757531,0.5232872758757531,0.5233594285508135,-0.5483242541217216,0.5493343915725676,-0.5538078574263141,-0.7406111331577618,-0.477398174537321,0.9441538295032288,-0.9754680904794545,-0.4777589379126231,0.47725386918720014,-0.7405389804827014,-0.9755402431545149,0.9442259821782892,-0.4774703272123814,-0.5538800101013746,-0.9865074497637,0.956491936938562,0.956491936938562,-0.4812222663155237,0.47761463256250225,-0.988527724665392,,-0.9742414950034273,-0.7600202027490169,-0.9859302283632165,0.9892492514159963,0.993434106569501,0.9882391139651503,0.9903315415419026,-0.699989177098741
11,gov_x,-0.9988455571990331,0.9988455571990331,0.4740069988094809,0.4759551210361124,-0.4696778383058552,0.502868068833652,0.47790324326274397,-0.49052996139831884,0.4779753959378044,-0.4778310905876835,-0.48980843464771456,1.0,0.9999278473249396,-0.9963202135719181,0.9963202135719181,-0.5191024207222483,0.5191024207222483,0.5074858400375194,0.5542407734766767,-0.5559724376781269,0.6880118330387099,0.5337494137595151,0.9992784732493957,0.9909087629423861,0.9724376781269165,-0.9724376781269165,-0.972509830801977,0.9476893105811898,-0.9466070204552833,0.9433601500775641,0.7914787690753635,0.9884555719903315,-0.43093185179840543,0.46073090659836213,0.9898986254915401,-0.9891049460658754,0.7915509217504239,0.4608030592734226,-0.4310040044734659,0.988527724665392,0.9432879974025037,0.5194631840975504,-0.5561888957033082,-0.5561888957033082,0.9948050073956491,-0.9897543201414193,0.4932717630506151,,0.5292759479057686,0.7680291496807244,0.4735019300840579,-0.4778310905876835,-0.48547927414408887,-0.5145568021934414,-0.4795627547891338,0.8168043580215737
12,norm_gov,-0.9989177098740936,0.9989177098740936,0.47393484613442044,0.475882968361052,-0.46960568563079474,0.5027959161585915,0.4778310905876835,-0.4904578087232584,0.47790324326274397,-0.4777589379126231,-0.4897362819726541,0.9999278473249396,1.0,-0.9963923662469786,0.9963923662469786,-0.5190302680471879,0.5190302680471879,0.507413687362459,0.5541686208016162,-0.5559002850030665,0.6879396803636495,0.5336772610844547,0.9993506259244561,0.9908366102673256,0.9723655254518562,-0.9723655254518562,-0.9724376781269165,0.9476171579061293,-0.946534867780223,0.9432879974025037,0.7914066164003031,0.988527724665392,-0.430859699123345,0.4606587539233017,0.9899707781666005,-0.9891770987409358,0.7914787690753635,0.46073090659836213,-0.43093185179840543,0.9885998773404524,0.9432158447274432,0.51939103142249,-0.5561167430282478,-0.5561167430282478,0.9948771600707096,-0.9898264728164796,0.49319961037555465,,0.5292037952307082,0.767956997005664,0.47342977740899744,-0.4777589379126231,-0.4854071214690285,-0.5144846495183809,-0.4794906021140734,0.8167322053465133
13,terror,0.9971138929975829,-0.9971138929975829,-0.47429560950972255,-0.47624373173635415,0.4704715177315199,-0.5036617482593168,-0.4786969226884087,0.49132364082398355,-0.4787690753634691,0.47862477001334824,0.4906021140733793,-0.9963202135719181,-0.9963923662469786,1.0,-1.0,0.520906237598759,-0.520906237598759,-0.5081352141130633,-0.5547458422020997,0.5563332010534291,-0.690392871315704,-0.5344709405101195,-0.9958151448464951,-0.9878061979147877,-0.9760453118799379,0.9760453118799379,0.9759731592048775,-0.9463905624301021,0.9451639669540748,-0.9418449439012951,-0.794942097478264,-0.9857859230130958,0.43122046249864715,-0.46152458602402685,-0.9866517551138209,0.9861466863883979,-0.7950142501533244,-0.4615967386990873,0.43129261517370754,-0.9858580756881561,-0.9417727912262347,-0.5201125581730943,0.5560445903531873,0.5560445903531873,-0.9904758468920235,0.9867960604639417,-0.4934882210757964,,-0.5299974746563729,-0.7715646307586854,-0.47429560950972255,0.47862477001334824,0.4862729535697536,0.5152061762689851,0.4803564342147985,-0.820411991774595
14,norm_terror,-0.9971138929975829,0.9971138929975829,0.47429560950972255,0.47624373173635415,-0.4704715177315199,0.5036617482593168,0.4786969226884087,-0.49132364082398355,0.4787690753634691,-0.47862477001334824,-0.4906021140733793,0.9963202135719181,0.9963923662469786,-1.0,1.0,-0.520906237598759,0.520906237598759,0.5081352141130633,0.5547458422020997,-0.5563332010534291,0.690392871315704,0.5344709405101195,0.9958151448464951,0.9878061979147877,0.9760453118799379,-0.9760453118799379,-0.9759731592048775,0.9463905624301021,-0.9451639669540748,0.9418449439012951,0.794942097478264,0.9857859230130958,-0.43122046249864715,0.46152458602402685,0.9866517551138209,-0.9861466863883979,0.7950142501533244,0.4615967386990873,-0.43129261517370754,0.9858580756881561,0.9417727912262347,0.5201125581730943,-0.5560445903531873,-0.5560445903531873,0.9904758468920235,-0.9867960604639417,0.4934882210757964,,0.5299974746563729,0.7715646307586854,0.47429560950972255,-0.47862477001334824,-0.4862729535697536,-0.5152061762689851,-0.4803564342147985,0.820411991774595
15,unem_x,0.5159998556946499,-0.5159998556946499,-0.9427829286770807,-0.944514592878531,0.9411234171506908,-0.9658717846964177,-0.9474728525560085,0.9556982575128973,-0.947545005231069,0.9506475702586673,0.9649337999206321,-0.5191024207222483,-0.5190302680471879,0.520906237598759,-0.520906237598759,1.0,-1.0,-0.9657996320213572,-0.9651502579458133,0.9639958151448464,-0.86002381038277,-0.9722212201017353,-0.5161441610447708,-0.5339658717846965,-0.5527255673004077,0.5527255673004077,0.5526534146253472,-0.5813701792993975,0.5820917060500018,-0.588874057505682,-0.7825318373678705,-0.5058263285111295,0.9056243010209604,-0.9361448825715213,-0.5071972293372777,0.5066921606118547,-0.78245968469281,-0.9362170352465817,0.9056964536960208,-0.50589848118619,-0.5889462101807424,-0.9716439987012518,0.9622641509433962,0.9622641509433962,-0.5106605577401783,0.5071972293372777,-0.9452361196291352,,-0.9766946859554818,-0.8047548612864822,-0.9425664706518995,0.9473285472058877,0.9514412496843321,0.9792921822576572,0.9486272953569753,-0.7691835924816912
16,norm_unemploy,-0.5159998556946499,0.5159998556946499,0.9427829286770807,0.944514592878531,-0.9411234171506908,0.9658717846964177,0.9474728525560085,-0.9556982575128973,0.947545005231069,-0.9506475702586673,-0.9649337999206321,0.5191024207222483,0.5190302680471879,-0.520906237598759,0.520906237598759,-1.0,1.0,0.9657996320213572,0.9651502579458133,-0.9639958151448464,0.86002381038277,0.9722212201017353,0.5161441610447708,0.5339658717846965,0.5527255673004077,-0.5527255673004077,-0.5526534146253472,0.5813701792993975,-0.5820917060500018,0.588874057505682,0.7825318373678705,0.5058263285111295,-0.9056243010209604,0.9361448825715213,0.5071972293372777,-0.5066921606118547,0.78245968469281,0.9362170352465817,-0.9056964536960208,0.50589848118619,0.5889462101807424,0.9716439987012518,-0.9622641509433962,-0.9622641509433962,0.5106605577401783,-0.5071972293372777,0.9452361196291352,,0.9766946859554818,0.8047548612864822,0.9425664706518995,-0.9473285472058877,-0.9514412496843321,-0.9792921822576572,-0.9486272953569753,0.7691835924816912
17,uhc,-0.5048161910602835,0.5048161910602835,0.9754680904794545,0.9765503806053609,-0.9716439987012518,0.9984126411486706,0.980446625058624,-0.9945163966954075,0.9805187777336845,-0.9803023197085032,-0.9904758468920235,0.5074858400375194,0.507413687362459,-0.5081352141130633,0.5081352141130633,-0.9657996320213572,0.9657996320213572,1.0,0.9769832966557235,-0.9759731592048775,0.8642808182113352,0.984992243587431,0.5049604964104044,0.5227822071503301,0.5419026660413435,-0.5419026660413435,-0.541974818716404,0.5683826977885205,-0.5696092932645478,0.5746599805187778,0.7722861575092896,0.4959414120278509,-0.9269093401637866,0.9573577690392872,0.49601356470291136,-0.49550849597748836,0.7722140048342292,0.9574299217143476,-0.926981492838847,0.49601356470291136,0.5747321331938382,0.9968974349724016,-0.9766946859554818,-0.9766946859554818,0.4994768931058119,-0.4958692593527905,0.9920632057433529,,0.9858580756881561,0.7917673797756052,0.9753959378043942,-0.9803744723835636,-0.9893935567661171,-0.991918900393232,-0.9827555106605578,0.7280565676972474
18,cat_b_pts,-0.5516432771745012,0.5516432771745012,0.9372993253724882,0.9401854323749053,-0.9316714167177748,0.9733035102276417,0.944009524153108,-0.9594501966160396,0.9440816768281685,-0.945019661603954,-0.9586565171903748,0.5542407734766767,0.5541686208016162,-0.5547458422020997,0.5547458422020997,-0.9651502579458133,0.9651502579458133,0.9769832966557235,1.0,-0.9997113892997583,0.9285688516901764,0.9963202135719181,0.5517875825246221,0.5722067895667232,0.5960893250117248,-0.5960893250117248,-0.5961614776867853,0.6338251740683286,-0.635412532919658,0.6420505790252173,0.8492009091237057,0.5423355820917061,-0.8804430174248711,0.9120458891013384,0.5428406508171291,-0.5423355820917061,0.8491287564486454,0.9121180417763989,-0.8805151700999314,0.5424077347667665,0.6421227317002778,0.9862188390634583,-0.9990620152242145,-0.9990620152242145,0.5463039792200296,-0.5426963454670082,0.9598109599913417,,0.9942277859951658,0.8650023449619395,0.937082867347307,-0.9438652188029871,-0.9533893719109636,-0.9847757855622498,-0.9456690356794978,0.8087954110898662
19,cat_b_rank,0.5533749413759516,-0.5533749413759516,-0.9354233558209171,-0.9383094628233342,0.9297954471662037,-0.9713553880010102,-0.9417006385511743,0.957502074389408,-0.9417727912262347,0.9427107760020202,0.9567805476388037,-0.5559724376781269,-0.5559002850030665,0.5563332010534291,-0.5563332010534291,0.9639958151448464,-0.9639958151448464,-0.9759731592048775,-0.9997113892997583,1.0,-0.9311663479923518,-0.9955986868213139,-0.5535192467260723,-0.5739384537681734,-0.5981095999134168,0.5981095999134168,0.5981817525884772,-0.6368555864208666,0.6384429452721959,-0.6452252967278762,-0.8523756268263646,-0.5440672462931563,0.8788556585735416,-0.910458530250009,-0.5445723150185793,0.5440672462931563,-0.8523034741513041,-0.9105306829250694,0.8789278112486021,-0.5441393989682167,-0.6452974494029367,-0.9852087016126123,0.9994227785995166,0.9994227785995166,-0.5480356434214798,0.5444280096684585,-0.9582236011400123,,-0.9933619538944406,-0.86846567336484,-0.9352068977957357,0.9415563332010535,0.9510804863090299,0.9834048847361015,0.9433601500775641,-0.8124030448428875
20,dep_rate,-0.6838269778852051,0.6838269778852051,0.8147119304448213,0.8185360222230239,-0.806919441538295,0.856488329304809,0.8216385872506223,-0.8376564811140373,0.8217107399256828,-0.8214942819005014,-0.8358526642375266,0.6880118330387099,0.6879396803636495,-0.690392871315704,0.690392871315704,-0.86002381038277,0.86002381038277,0.8642808182113352,0.9285688516901764,-0.9311663479923518,1.0,0.9040369421696309,0.6838991305602655,0.7257476820953137,0.766441790829395,-0.766441790829395,-0.7665139435044555,0.8193297016486887,-0.8212778238753202,0.8279158699808795,0.9735199682528229,0.6702622749738446,-0.7527327825679138,0.7842635015693207,0.6712724124246906,-0.6704787329990259,0.9734478155777625,0.7843356542443811,-0.7528049352429741,0.670334427648905,0.82798802265594,0.8813088495255962,-0.9312385006674122,-0.9312385006674122,0.6763230996789206,-0.6711281070745698,0.844005916519355,,0.8965330639633464,0.9800137090082615,0.8146397777697608,-0.8215664345755619,-0.8314513510588405,-0.8729391392185866,-0.8238753201774955,0.9462462570799812
21,school,-0.5311519174573397,0.5311519174573397,0.9545438147119304,0.9569248529889246,-0.9494931274577005,0.9821782892600743,0.9595945019661604,-0.9714275406760705,0.9596666546412208,-0.9603881813918251,-0.9712110826508893,0.5337494137595151,0.5336772610844547,-0.5344709405101195,0.5344709405101195,-0.9722212201017353,0.9722212201017353,0.984992243587431,0.9963202135719181,-0.9955986868213139,0.9040369421696309,1.0,0.5312962228074606,0.5491179335473862,0.5699700566398499,-0.5699700566398499,-0.5700422093149103,0.6015729283163174,-0.6030159818175259,0.6091489591976622,0.8172372740719362,0.521916375049605,-0.9004293084166095,0.9321764854431978,0.5223492910999675,-0.5218442223745445,0.8171651213968758,0.9322486381182582,-0.90050146109167,0.5219885277246654,0.6092211118727227,0.991918900393232,-0.9955265341462535,-0.9955265341462535,0.5258126195028681,-0.5222049857498466,0.9708503192755872,,0.9991341678992749,0.8338323893358346,0.9544716620368701,-0.9595223492910999,-0.9668097694722032,-0.9923518164435946,-0.9611097081424294,0.7761102492874923
22,equal_rights,-0.9994227785995166,0.9994227785995166,0.471842418557668,0.47379054078429955,-0.4671524946787402,0.5000541145062953,0.475377899635629,-0.4877881597460226,0.47545005231068943,-0.47523359428550815,-0.48670586962011614,0.9992784732493957,0.9993506259244561,-0.9958151448464951,0.9958151448464951,-0.5161441610447708,0.5161441610447708,0.5049604964104044,0.5517875825246221,-0.5535192467260723,0.6838991305602655,0.5312962228074606,1.0,0.989537862116238,0.9687578916988347,-0.9687578916988347,-0.9688300443738952,0.9447310509037122,-0.9436487607778058,0.9402575850499657,0.7864280818211336,0.9907644575922653,-0.4286229661964717,0.4581334102961867,0.9922796637685343,-0.9912695263176883,0.786500234496194,0.45820556297124715,-0.42869511887153217,0.9908366102673256,0.9401854323749053,0.5167213824452541,-0.5538800101013746,-0.5538800101013746,0.9966088242721599,-0.9919910530682925,0.49117933547386267,,0.5267506042786536,0.7632670731267361,0.4711930444821242,-0.47530574696056854,-0.48280962516685305,-0.5117428478660846,-0.4770374111620188,0.8116093654172228
23,lgbt_eindex,-0.9892492514159963,0.9892492514159963,0.48966412929759373,0.4916122515242253,-0.48497420541866587,0.517875825246221,0.49319961037555465,-0.5056098704859483,0.4932717630506151,-0.4930553050254338,-0.5045275803600419,0.9909087629423861,0.9908366102673256,-0.9878061979147877,0.9878061979147877,-0.5339658717846965,0.5339658717846965,0.5227822071503301,0.5722067895667232,-0.5739384537681734,0.7257476820953137,0.5491179335473862,0.989537862116238,1.0,0.9873011291893647,-0.9873011291893647,-0.9873732818644251,0.9711389299758288,-0.9701287925249829,0.967459143547747,0.8283487860312421,0.9733756629027022,-0.44644467693639744,0.4759551210361124,0.9745301057036689,-0.9737364262780043,0.8284209387063025,0.4760272737111728,-0.44651682961145783,0.9734478155777625,0.9673869908726866,0.5345430931851798,-0.5742992171434756,-0.5742992171434756,0.9812403044842888,-0.9743858003535482,0.5090010462137884,,0.5445723150185793,0.8059093040874491,0.48901475522204985,-0.49312745770049426,-0.5006313359067788,-0.5295645586060104,-0.49485912190194453,0.8503553519246726
24,sui_rate,-0.9697680291496807,0.9697680291496807,0.5068364659619755,0.5087845881886071,-0.5031566795338938,0.5369962841372344,0.5113820844907825,-0.5242252606515386,0.5114542371658429,-0.511309931815722,-0.5232872758757531,0.9724376781269165,0.9723655254518562,-0.9760453118799379,0.9760453118799379,-0.5527255673004077,0.5527255673004077,0.5419026660413435,0.5960893250117248,-0.5981095999134168,0.766441790829395,0.5699700566398499,0.9687578916988347,0.9873011291893647,1.0,-1.0,-0.9999278473249396,0.9841985641617663,-0.9835491900862224,0.9816010678595909,0.8618997799343411,0.9537501352862657,-0.4637613189509001,0.49420974782640065,0.9557704101879577,-0.9548324254121722,0.8619719326094015,0.4942819005014611,-0.46383347162596056,0.9538222879613262,0.9815289151845304,0.5544572315018579,-0.5976766838630542,-0.5976766838630542,0.9619033875680941,-0.9560590208881994,0.5271835203290162,,0.5645586060103178,0.84148057289224,0.5069807713120964,-0.511309931815722,-0.5191745733973087,-0.5487571701720841,-0.5130415960171724,0.8832569717522277
