country_c_x,gdp,country,year_x,access_electricity,norm_access_electricity,norm_with_pts,norm_pts_log5,country_c_y,renew,year_y,happiness,norm_hap,happiness_log4_n,country_c
Serbia,23622.2236,Serbia,2017,99.90909091,0.999036423212565,4.995182116062825,31.96916554280208,Serbia,30.8029194,2022.0,6.2834,0.7410999896811475,2.96439995872459,Serbia
North Macedonia,22437.9166,North Macedonia,2017,99.89090909090908,0.998843707843515,4.994218539217575,31.96299865099248,North Macedonia,28.3973122,2022.0,5.2852,0.5694286795308361,2.2777147181233444,North Macedonia
Dominican Republic,21768.5528,Dominican Republic,2017,98.76363636363637,0.986895355559838,4.934476777799191,31.58065137791482,Dominican Republic,14.825458,2022.0,5.704,0.6414542702851441,2.5658170811405765,Dominican Republic
Mexico,21349.522,Mexico,2017,99.49090909,0.994603969926768,4.9730198496338405,31.82732703765658,Mexico,20.565338,2022.0,6.486400000000001,0.7760121074536511,3.1040484298146045,Mexico
Thailand,20672.6116,Thailand,2017,99.72727272727272,0.9971092696087878,4.985546348043939,31.90749662748121,Thailand,14.8439302,2022.0,5.9834000000000005,0.6895057269631616,2.7580229078526464,Thailand
Azerbaijan,20334.7506,Azerbaijan,2017,100.0,1.0,5.0,32.0,Azerbaijan,6.32226378,2022.0,5.0280000000000005,0.5251951982939497,2.1007807931757987,Azerbaijan
China,20171.0062,China,2017,99.99090909,0.9999036423106572,4.999518211553286,31.99691655394103,China,27.8831732,2022.0,5.7272,0.6454442266020017,2.581776906408007,China
Maldives,19759.178,Maldives,2017,99.83636363636364,0.9982655617652728,4.991327808826364,31.94449797648873,Maldives,5.07808496,2020.0,5.198,0.554431947167475,2.2177277886699,Maldives
Georgia,19538.1472,Georgia,2017,99.99090909,0.9999036423106572,4.999518211553286,31.99691655394103,Georgia,78.1283284,2022.0,5.1116,0.539572799504695,2.15829119801878,Georgia
Gabon,18812.242,Gabon,2017,89.16363636363636,0.8851416457891693,4.425708228945847,28.324532665253415,Gabon,42.897927,2022.0,5.014200000000001,0.5228218622089225,2.09128744883569,Gabon
Bosnia and Herzegovina,18498.5104,Bosnia and Herzegovina,2017,99.89090909090908,0.998843707843515,4.994218539217575,31.96299865099248,Bosnia and Herzegovina,34.537603000000004,2022.0,5.8454,0.6657723661128881,2.6630894644515526,Bosnia and Herzegovina
Brazil,18198.8254,Brazil,2017,99.7,0.9968201965696666,4.984100982848333,31.89824629022933,Brazil,82.328326,2022.0,6.3028,0.7444364186702438,2.977745674680975,Brazil
Botswana,17970.235999999997,Botswana,2017,66.13636363636364,0.6410676430911544,3.205338215455772,20.51416457891694,Botswana,0.392099992,2022.0,3.4388,0.2518831905892064,1.0075327623568255,Botswana
Colombia,17796.8944,Colombia,2017,98.66363636363636,0.9858354210830602,4.929177105415301,31.546733474657927,Colombia,71.5781328,2022.0,5.8244,0.6621607677226291,2.6486430708905164,Colombia
Armenia,16861.273800000003,Armenia,2017,99.8181818181818,0.9980728464058584,4.990364232029291,31.938331084987468,Armenia,29.312728600000003,2022.0,5.3946,0.5882433873353282,2.352973549341313,Armenia
Turkmenistan,16488.5204,Turkmenistan,2017,99.97272727272728,0.9997109269608788,4.998554634804394,31.99074966274813,Turkmenistan,0.0175423816,2020.5,5.27,0.5668145702197914,2.2672582808791657,Turkmenistan
Ukraine,16449.57,Ukraine,2017,99.99090909,0.9999036423106572,4.999518211553286,31.99691655394103,Ukraine,11.43981268,2022.0,4.9166,0.5060365287380042,2.024146114952017,Ukraine
Albania,16422.190599999998,Albania,2017,99.96363636363635,0.9996145692811716,4.998072846405858,31.987666216997493,Albania,100.0,2022.0,5.2616,0.5653699308636878,2.2614797234547512,Albania
Egypt,15793.2688,Egypt,2017,99.8818181818182,0.9987473501638084,4.993736750819042,31.959915205241867,Egypt,10.9226045,2022.0,4.107,0.3668008117497334,1.4672032469989336,Egypt
