country,year,school,norm_school,school_log8_n
Kenya,2018.3333333333333,8.224409999999999,0.5617949816300051,4.494359853040041
Iran,2018.3333333333333,8.151641333333334,0.5549511382133656,4.439609105706925
Dominica,2019.0,8.084365,0.5486238449967936,4.388990759974349
Philippines,2018.3333333333333,8.069764666666666,0.5472506936152821,4.378005548922257
Grenada,2019.0,8.007303499999999,0.5413762635361185,4.331010108288948
Saudi Arabia,2018.3333333333333,7.998155633333333,0.540515912921894,4.324127303375152
Armenia,2018.3333333333333,7.9750103333333335,0.5383391132595235,4.306712906076188
Indonesia,2018.3333333333333,7.897449433333333,0.5310445635698177,4.248356508558541
Kosovo,2018.3333333333333,7.826569,0.5243783072089724,4.195026457671779
Palestine,2018.3333333333333,7.811710333333333,0.52298085975384,4.18384687803072
Brazil,2018.3333333333333,7.7592178333333335,0.5180439759684935,4.144351807747948
Saint Vincent and the Grenadines,2019.0,7.754846499999999,0.5176328550530543,4.141062840424435
Jordan,2018.3333333333333,7.607844966666666,0.5038074612094688,4.030459689675751
Kuwait,2018.3333333333333,7.481373333333333,0.491912890443938,3.935303123551504
Tajikistan,2018.3333333333333,7.392325666666667,0.4835380181919094,3.868304145535275
El Salvador,2018.3333333333333,7.2737407,0.47238518304169685,3.779081464333575
Jamaica,2018.3333333333333,7.159996566666667,0.4616876249613685,3.693500999690948
Kiribati,2018.3333333333333,7.114809666666666,0.45743782786806786,3.659502622944543
Nepal,2018.3333333333333,7.0754132,0.453732617076305,3.62986093661044
Paraguay,2018.3333333333333,7.017657333333333,0.44830071724956216,3.5864057379964973
Algeria,2018.3333333333333,6.9931937333333325,0.445999932372271,3.567999458978168
North Macedonia,2018.3333333333333,6.977725666666667,0.4445451712632112,3.5563613701056895
Fiji,2020.0,6.951136,0.4420444312675081,3.5363554501400647
Samoa,2019.0,6.9485626499999995,0.44180240945698235,3.534419275655859
Nicaragua,2018.3333333333333,6.918482,0.4389733448622749,3.5117867588981992
Cambodia,2018.3333333333333,6.866099000000001,0.4340467594771665,3.472374075817332
Tonga,2018.3333333333333,6.845198533333334,0.43208108485711894,3.4566486788569515
Panama,2018.3333333333333,6.827542133333334,0.4304205124921603,3.4433640999372823
Zimbabwe,2018.3333333333333,6.787740266666667,0.4266771741071872,3.4134173928574976
Guyana,2018.3333333333333,6.738832933333334,0.4220774727990409,3.376619782392327
Myanmar,2018.3333333333333,6.720631999999999,0.4203656874458664,3.362925499566931
Micronesia (country),2019.0,6.6948732,0.4179430898928829,3.3435447191430634
India,2018.3333333333333,6.602306,0.40923720793384244,3.2738976634707395
Lebanon,2018.3333333333333,6.581627466666667,0.4072924059922683,3.2583392479381463
Dominican Republic,2018.3333333333333,6.523497233333333,0.401825297236127,3.214602377889016
Nauru,2020.0,6.5116167,0.4007079411876515,3.205663529501212
Egypt,2018.3333333333333,6.457976899999999,0.3956631546206326,3.165305236965061
