country,year,research,country_c,norm_research,research_log8_n
Ethiopia,2018.0,2279.15,Ethiopia,0.004196030897736023,0.03356824718188818
Kazakhstan,2018.0,2110.594,Kazakhstan,0.003885664441559864,0.03108531553247891
Ecuador,2018.0,1993.8080000000002,Ecuador,0.003670623405043876,0.02936498724035101
Lebanon,2018.0,1820.784,Lebanon,0.0033520299066610018,0.026816239253288014
Peru,2018.0,1785.234,Peru,0.0032865707861487532,0.026292566289190026
Qatar,2018.0,1680.6739999999998,Qatar,0.003094041794847469,0.024752334358779753
Estonia,2018.0,1593.2220000000002,Estonia,0.0029330141997128117,0.023464113597702493
Latvia,2018.0,1450.508,Latvia,0.002670231276371463,0.021361850210971704
Ghana,2018.0,1411.126,Ghana,0.0025977161966523814,0.02078172957321905
Sri Lanka,2018.0,1395.544,Sri Lanka,0.0025690246631552833,0.020552197305242267
Kenya,2018.0,1351.636,Kenya,0.0024881757443521385,0.01990540595481711
Cyprus,2018.0,1261.1060000000002,Cyprus,0.002321480549416167,0.018571844395329336
Belarus,2018.0,1189.342,Belarus,0.002189339668278587,0.017514717346228698
Cuba,2018.0,1160.452,Cuba,0.0021361437754066083,0.017089150203252867
Kuwait,2018.0,975.202,Kuwait,0.0017950382318090295,0.014360305854472236
Nepal,2018.0,916.186,Nepal,0.0016863705677822836,0.013490964542258269
Uruguay,2018.0,879.9799999999999,Uruguay,0.0016197035377607237,0.01295762830208579
Cameroon,2018.0,876.4279999999999,Cameroon,0.0016131631496859133,0.012905305197487307
Oman,2018.0,874.1299999999999,Oman,0.001608931783752379,0.012871454270019032
Luxembourg,2018.0,874.1020000000001,Luxembourg,0.001608880226639177,0.012871041813113417
Azerbaijan,2018.0,793.356,Azerbaijan,0.0014602005601164773,0.011681604480931819
Bosnia and Herzegovina,2018.0,741.022,Bosnia and Herzegovina,0.001363836632890374,0.010910693063122992
Uganda,2018.0,728.5559999999999,Uganda,0.0013408826695625064,0.010727061356500051
Venezuela,2018.0,727.5559999999999,Venezuela,0.0013390413440909944,0.010712330752727955
Tanzania,2018.0,689.8100000000001,Tanzania,0.0012695386728433066,0.010156309382746453
Iceland,2018.0,668.9159999999999,Iceland,0.001231066018441537,0.009848528147532296
Uzbekistan,2018.0,639.36,Uzbekistan,0.0011766438028055315,0.009413150422444252
Georgia,2018.0,584.284,Georgia,0.0010752309611365423,0.008601847689092338
Puerto Rico,2018.0,571.818,Puerto Rico,0.001052276997808675,0.0084182159824694
Armenia,2018.0,551.6020000000001,Armenia,0.0010150527620765906,0.008120422096612725
Costa Rica,2018.0,526.71,Costa Rica,0.0009692184884397165,0.007753747907517732
North Macedonia,2018.0,449.784,North Macedonia,0.0008275726852181925,0.00662058148174554
Malta,2018.0,423.092,Malta,0.0007784240257325969,0.0062273922058607755
Zimbabwe,2018.0,393.942,Zimbabwe,0.0007247493882380252,0.0057979951059042014
Palestine,2018.0,375.938,Palestine,0.000691598164448925,0.0055327853155914
Sudan,2018.0,366.26599999999996,Sudan,0.0006737888644884619,0.005390310915907695
Senegal,2018.0,357.87600000000003,Senegal,0.0006583401437824772,0.005266721150259818
Bahrain,2018.0,335.758,Bahrain,0.000617613707003577,0.004940909656028616
Syria,2018.0,328.114,Syria,0.0006035386150993401,0.004828308920794721
Montenegro,2018.0,273.37,Montenegro,0.0005027370934868929,0.004021896747895143
Botswana,2018.0,272.608,Botswana,0.0005013340034776009,0.004010672027820807
Moldova,2018.0,248.902,Moldova,0.00045768354184993977,0.003661468334799518
Brunei,2018.0,242.74399999999997,Brunei Darussalam,0.0004463446595963695,0.003570757276770956
Malawi,2018.0,240.34,Malawi,0.000441918113162855,0.00353534490530284
Kosovo,2018.0,238.718,Kosovo,0.00043893148324806265,0.003511451865984501
Benin,2018.0,232.30599999999998,Benin,0.00042712490432472835,0.003416999234597827
Myanmar,2018.0,230.16,Myanmar,0.0004231734198628638,0.0033853873589029105
Burkina Faso,2018.0,229.95,Burkina Faso,0.00042278674151384634,0.0033822939321107707
Trinidad and Tobago,2018.0,221.05,Trinidad and Tobago,0.0004063989448173905,0.003251191558539124
Cote d'Ivoire,2018.0,218.878,Cote d'Ivoire,0.00040239958589326664,0.003219196687146133
Zambia,2018.0,212.33800000000002,Zambia,0.00039035731730957887,0.003122858538476631
Panama,2018.0,202.42800000000003,Panama,0.000372109781886896,0.002976878255095168
Libya,2018.0,177.156,Libya,0.0003255758045708473,0.0026046064365667786
Rwanda,2018.0,175.566,Rwanda,0.0003226480970711434,0.0025811847765691474
Mauritius,2018.0,174.774,Mauritius,0.000321189767297706,0.002569518138381648
Jamaica,2018.0,174.126,Jamaica,0.0003199965883921663,0.0025599727071373302
Yemen,2018.0,172.784,Yemen,0.00031752552960939733,0.0025402042368751787
Albania,2018.0,166.578,Albania,0.0003060982637331945,0.002448786109865556
Mongolia,2018.0,161.0,Mongolia,0.0002958273502531011,0.002366618802024809
Fiji,2018.0,158.23600000000002,Fiji,0.0002907379266498423,0.0023259034131987385
Namibia,2018.0,145.18,Namibia,0.00026669758129378295,0.0021335806503502636
Mozambique,2018.0,141.512,Mozambique,0.0002599435994642773,0.0020795487957142185
Kyrgyzstan,2018.0,140.602,Kyrgyz Republic,0.0002582679932852015,0.002066143946281612
Cambodia,2018.0,139.79000000000002,Cambodia,0.00025677283700233387,0.002054182696018671
Democratic Republic of Congo,2018.0,133.172,DR Congo,0.0002445869450318681,0.001956695560254945
Paraguay,2018.0,129.284,Paraguay,0.00023742787159862985,0.0018994229727890388
Madagascar,2018.0,126.872,Madagascar,0.00023298659456134316,0.0018638927564907453
Bolivia,2018.0,109.53600000000002,Bolivia,0.00020106537618721297,0.0016085230094977038
Guatemala,2018.0,102.694,Guatemala,0.00018846702731112856,0.0015077362184890285
North Korea,2018.0,102.34200000000001,North Korea,0.00018781888074515638,0.001502551045961251
Afghanistan,2018.0,95.0,Afghanistan,0.00017429986913331604,0.0013943989530665283
Mali,2018.0,90.238,Mali,0.0001655314772379764,0.0013242518179038111
Laos,2018.0,86.65599999999999,Laos,0.00015893584939902076,0.001271486795192166
Togo,2018.0,77.402,Togo,0.0001418962234856497,0.0011351697878851975
Tajikistan,2018.0,72.098,Tajikistan,0.00013212983318475058,0.0010570386654780047
Congo,2018.0,70.186,Congo Republic,0.00012860921888321986,0.0010288737510657589
Papua New Guinea,2018.0,63.641999999999996,Papua New Guinea,0.00011655958499764601,0.0009324766799811681
Gabon,2018.0,62.39,Gabon,0.00011425424550731312,0.000914033964058505
Niger,2018.0,59.734,Niger,0.00010936368505497752,0.0008749094804398202
Honduras,2018.0,58.952,Honduras,0.00010792376853625521,0.0008633901482900417
Dominican Republic,2018.0,58.34400000000001,Dominican Republic,0.000106804242649576,0.000854433941196608
Bhutan,2018.0,54.532,Bhutan,9.978510995217263e-05,0.0007982808796173811
Barbados,2018.0,52.686,Barbados,9.638602313176168e-05,0.0007710881850540934
Grenada,2018.0,49.924,Grenada,9.130028217944582e-05,0.0007304022574355666
Sierra Leone,2018.0,48.588,Sierra Leone,8.884027134950593e-05,0.0007107221707960474
Gambia,2018.0,47.6,Gambia,8.702104178365219e-05,0.0006961683342692175
Monaco,2018.0,46.614,Monaco,8.520549486874145e-05,0.0006816439589499316
Angola,2018.0,37.726,Angola,6.883979407794372e-05,0.0005507183526235498
Nicaragua,2018.0,36.660000000000004,Nicaragua,6.687694112531206e-05,0.0005350155290024964
Haiti,2018.0,35.874,Haiti,6.54296593047037e-05,0.0005234372744376296
Guinea,2018.0,35.11,Guinea,6.40228866444686e-05,0.0005121830931557488
Liechtenstein,2018.0,33.616,Liechtenstein,6.127194639002984e-05,0.0004901755711202387
Eswatini,2018.0,29.7,Eswatini,5.4061315843589255e-05,0.00043249052674871404
