country,year,sanitation_value,norm_sanitize,norm_sanitize_withpts5,norm_sanitize_withpts_log5
 Libya,2018.0,99.21925314333333,0.9907204798724638,4.953602399362319,31.703055355918842
 Martinique,2018.0,99.1463199388889,0.9898536366276541,4.949268183138271,31.675316372084932
 Virgin Islands U.S.,2018.0,99.10161488444444,0.9893222973734802,4.946611486867401,31.658313515951367
 Iran (Islamic Republic of),2018.0,99.08616566777778,0.9891386766316369,4.945693383158185,31.65243765221238
 Croatia,2017.5,99.00334397,0.9881543042899962,4.940771521449981,31.620937737279878
 Uruguay,2018.0,98.99758695555556,0.9880858796387081,4.94042939819354,31.61874814843866
 Syrian Arab Republic,2018.0,98.99425374777778,0.9880462629967721,4.94023131498386,31.617480415896708
 Curaçao,2015.5,98.95027512,0.9875235576433523,4.937617788216762,31.600753844587274
 Fiji,2018.0,98.93518211,0.9873441705745679,4.936720852872839,31.595013458386173
 Jordan,2018.0,98.93359018333334,0.9873252498252639,4.93662624912632,31.594407994408446
 Egypt,2018.0,98.91972616222222,0.9871604698305054,4.935802349152527,31.589135034576174
 Guam,2018.0,98.91833333,0.9871439154063281,4.93571957703164,31.588605293002498
 Canada,2018.0,98.85063916333334,0.9863393404320759,4.93169670216038,31.56285889382643
 Tajikistan,2018.0,98.83537937333332,0.9861579711095638,4.930789855547819,31.557055075506042
 Jamaica,2018.0,98.81791754888889,0.9859504296381995,4.929752148190997,31.550413748422383
 Sint Maarten,2015.5,98.78102656,0.9855119639934184,4.927559819967092,31.53638284778939
 Montserrat,2018.0,98.74697268666667,0.9851072187160997,4.925536093580499,31.52343099891519
 Samoa,2018.0,98.71195901777777,0.9846910658460382,4.92345532923019,31.51011410707322
 Turks and Caicos Islands,2019.0,98.69768908714286,0.9845214614378814,4.922607307189407,31.504686766012206
 American Samoa,2018.0,98.51766986777778,0.9823818537594419,4.911909268797209,31.43621932030214
 North Macedonia,2018.0,98.51425525444444,0.9823412695766379,4.9117063478831895,31.434920626452413
 Channel Islands,2015.5,98.5,0.9821718396014664,4.910859198007332,31.429498867246924
 Türkiye,2018.0,98.49600073888888,0.9821243066224232,4.910621533112116,31.427977811917543
 Azerbaijan,2016.5,98.49231619,0.9820805141366984,4.910402570683492,31.42657645237435
 Costa Rica,2018.0,98.42818326222222,0.9813182660545319,4.90659133027266,31.40218451374502
 Northern Mariana Islands,2018.0,98.37246926333334,0.9806560806487755,4.903280403243878,31.380994580760817
FALSE,2014.0,98.28671379,0.979636839093016,4.89818419546508,31.348378850976513
 Bahamas,2016.5,98.18852058666668,0.9784697696403013,4.8923488482015065,31.31103262848964
 Palau,2018.0,98.01041780777777,0.976352939700664,4.88176469850332,31.243294070421246
 El Salvador,2018.0,97.97210481333333,0.9758975728937949,4.879487864468974,31.228722332601436
 Serbia,2018.0,97.90010231000001,0.9750417914414465,4.875208957207232,31.20133732612629
 Uzbekistan,2018.0,97.87261687444445,0.9747151149389744,4.873575574694872,31.190883678047182
 Niue,2018.0,97.81238421222221,0.9739992232300887,4.8699961161504435,31.16797514336284
 Lebanon,2018.0,97.77425054777778,0.9735459878392226,4.8677299391961135,31.153471610855124
 Montenegro,2018.0,97.47235840777779,0.9699578668425717,4.849789334212859,31.038651738962294
 Tunisia,2018.0,97.45750395555555,0.9697813151380047,4.848906575690023,31.03300208441615
 Maldives,2018.0,97.44024656333333,0.969576203433606,4.84788101716803,31.02643850987539
 Antigua and Barbuda,2018.0,97.39523238777778,0.9690411901389312,4.845205950694656,31.0093180844458
 Tonga,2018.0,97.33972430555555,0.9683814521434159,4.841907260717079,30.988206468589308
 Mexico,2018.0,97.19782408111112,0.9666949055020938,4.833474527510469,30.934236976067
 French Polynesia,2018.0,97.09977319555554,0.965529527558825,4.827647637794125,30.8969448818824
 Sri Lanka,2018.0,97.0770686311111,0.9652596738143622,4.826298369071811,30.88830956205959
 Cuba,2018.0,97.01007091888889,0.9644633765078071,4.8223168825390355,30.862828048249828
 Guyana,2018.0,97.00836871333334,0.9644431450453568,4.822215725226783,30.862180641451417
 Iraq,2018.0,97.00625251666666,0.9644179931162845,4.822089965581423,30.861375779721104
 British Virgin Islands,2015.0,96.85797948,0.9626557027959706,4.813278513979853,30.804982489471058
 Belize,2018.0,96.85503049111111,0.9626206527646876,4.813103263823438,30.803860888470002
 Argentina,2015.0,96.80236124,0.9619946555267678,4.809973277633839,30.78382897685657
 Nauru,2017.5,96.78941336625,0.9618407643467446,4.809203821733723,30.778904459095827
 Ecuador,2018.0,96.66800769666666,0.9603978045129958,4.801989022564979,30.732729744415867
 Cook Islands,2018.0,96.56941607666666,0.9592259997027882,4.796129998513941,30.695231990489223
" China, Hong Kong Special Administrative Region",2018.0,96.53492970333333,0.9588161139725547,4.794080569862774,30.68211564712175
 Saint Kitts and Nevis,2015.5,96.30182,0.956045502518234,4.7802275125911695,30.593456080583486
 Ireland,2018.0,96.15349735666666,0.9542826226008464,4.771413113004232,30.537043923227085
 Algeria,2018.0,96.15065475555555,0.9542488370351411,4.771244185175705,30.535962785124514
 Venezuela (Bolivarian Republic of),2018.0,96.0847648488889,0.9534657064853428,4.767328532426714,30.51090260753097
 Bosnia and Herzegovina,2016.0,95.933289292,0.9516653528022277,4.758326764011139,30.453291289671288
 Mayotte,2018.0,95.83474720777778,0.9504941367465481,4.75247068373274,30.41581237588954
 Colombia,2018.0,95.74387578555555,0.9494140898858675,4.747070449429337,30.38125087634776
 Dominican Republic,2018.0,95.73717742444445,0.9493344769150036,4.746672384575018,30.378703261280116
 Suriname,2018.0,95.1836386,0.9427554242823293,4.713777121411646,30.168173577034537
 Lithuania,2018.0,94.88126926333332,0.9391616315932014,4.695808157966007,30.053172210982446
 Brunei Darussalam,2018.0,94.61428380111111,0.935988391830152,4.67994195915076,29.951628538564865
 Latvia,2017.5,94.2597633875,0.9317747606312098,4.658873803156049,29.816792340198713
 Tuvalu,2018.0,94.22008996,0.9313032244785233,4.656516122392617,29.801703183312746
 Cayman Islands,2018.0,94.14785276111111,0.9304446535661687,4.652223267830843,29.774228914117398
 Armenia,2018.0,94.04982801555555,0.9292795863083088,4.646397931541544,29.73694676186588
 Paraguay,2018.0,93.99917032,0.9286774972937858,4.643387486468929,29.717679913401145
 Grenada,2015.5,93.70684932,0.9252031335098794,4.626015667549397,29.60650027231614
 Saint Lucia,2018.0,93.53988604,0.9232187014188757,4.616093507094378,29.542998445404024
 French Guiana,2018.0,93.15722163555556,0.9186705664980459,4.593352832490229,29.39745812793747
 China,2018.0,92.22106076222222,0.9075438823589672,4.537719411794836,29.04140423548695
 Philippines,2018.0,92.19711222666666,0.9072592434701708,4.536296217350854,29.032295791045467
 Saint Vincent and the Grenadines,2016.0,91.471016532,0.8986292764640361,4.49314638232018,28.756136846849156
 Faroe Islands,2014.5,90.88347572,0.8916460952393558,4.458230476196779,28.532675047659385
 Honduras,2018.0,89.5817643288889,0.8761746822571376,4.3808734112856875,28.037589832228402
 Mongolia,2018.0,89.47308397,0.8748829683435101,4.374414841717551,27.996254986992323
 South Africa,2018.0,88.74406006333334,0.866218198248564,4.33109099124282,27.71898234395405
 Micronesia (Federated States of),2017.0,88.70196846142856,0.8657179210284377,4.328589605142189,27.702973472910006
 Brazil,2018.0,88.60122215444444,0.8645205068147892,4.322602534073946,27.664656218073254
 Russian Federation,2018.0,88.48068363333333,0.8630878534224086,4.315439267112043,27.618811309517074
 Indonesia,2018.0,88.06870484222222,0.8581913041099266,4.290956520549633,27.46212173151765
 Georgia,2018.0,87.91039373555556,0.8563097069082449,4.2815485345412245,27.401910621063838
 Marshall Islands,2018.0,87.80922515,0.8551072737278601,4.2755363686393,27.363432759291523
 Republic of Moldova,2018.0,87.55712171555555,0.8521109134169955,4.260554567084977,27.267549229343857
 Viet Nam,2018.0,87.51025426999999,0.8515538731924395,4.257769365962197,27.249723942158063
 Romania,2018.0,85.86384682333333,0.8319855958320972,4.159927979160486,26.62353906662711
 Panama,2018.0,85.47779403,0.8273971884175314,4.136985942087657,26.476710029361005
 Peru,2018.0,85.38296510666666,0.8262701049137934,4.131350524568967,26.440643357241388
 Eswatini,2018.0,84.81170189222222,0.8194803901025284,4.0974019505126416,26.223372483280908
 Democratic People's Republic of Korea,2018.0,84.65293933333334,0.8175934271924267,4.087967135962133,26.162989670157653
 Myanmar,2018.0,83.94587630555556,0.8091896718116967,4.0459483590584835,25.894069497974293
 Dominica,2015.5,83.5409822,0.8043773271061865,4.021886635530932,25.740074467397967
 Botswana,2018.0,83.39267018555556,0.8026145735178231,4.013072867589115,25.683666352570338
 Bhutan,2018.0,83.38284912666667,0.8024978459090533,4.012489229545267,25.679931069089704
 Cabo Verde,2018.0,82.80553878111111,0.7956362582821884,3.9781812914109422,25.46036026503003
 Rwanda,2018.0,82.63759742777778,0.793640201359006,3.96820100679503,25.396486443488193
 Nepal,2018.0,81.25482817,0.777205379944457,3.8860268997222853,24.870572158222625
 Bolivia (Plurinational State of),2018.0,79.89318753777778,0.7610216815468447,3.8051084077342234,24.35269380949903
 Nicaragua,2017.0,79.66358384571429,0.7582927405800424,3.791463702900212,24.265367698561356
 Guatemala,2018.0,78.2200338088889,0.741135512846821,3.705677564234105,23.716336411098272
 Lao People's Democratic Republic,2018.0,77.97361479,0.7382067143174872,3.691033571587436,23.62261485815959
 Gabon,2018.0,77.85601398222222,0.7368089769414476,3.6840448847072382,23.577887262126325
 India,2018.0,77.35106158111111,0.7308073953410252,3.654036976705126,23.385836650912807
 Bangladesh,2018.0,76.76108538777777,0.7237952685369832,3.618976342684916,23.16144859318346
 Equatorial Guinea,2015.5,76.05437623,0.7153957190570001,3.5769785952850004,22.892663009824002
 Pakistan,2018.0,73.25213872444445,0.682089892574446,3.4104494628722297,21.82687656238227
 Vanuatu,2018.0,73.03935813444444,0.6795609015823028,3.3978045079115136,21.745948850633688
 Senegal,2018.0,72.14288653555555,0.668905941943822,3.3445297097191102,21.404990142202305
 Cambodia,2018.0,71.37765089222222,0.6598107794158076,3.299053897079038,21.113944941305842
 Djibouti,2018.0,71.12682970888889,0.6568296592239299,3.2841482961196493,21.018549095165756
 Ghana,2018.0,70.41833684222223,0.6484089095784965,3.2420445478924824,20.749085106511888
 Timor-Leste,2018.0,67.443896,0.6130563706244381,3.0652818531221904,19.61780385998202
 Zimbabwe,2018.0,65.24479778666667,0.5869191201714812,2.934595600857406,18.781411845487398
 Lesotho,2018.0,64.63868160888889,0.5797151625464356,2.898575812732178,18.55088520148594
 Gambia,2018.0,63.63190672666667,0.5677491998227873,2.8387459991139363,18.167974394329192
 Haiti,2018.0,62.81825970444444,0.5580786467428092,2.790393233714046,17.858516695769893
 Greenland,2018.0,62.5,0.5542959900366589,2.771479950183294,17.737471681173083
 Malawi,2018.0,62.262598413333336,0.5514743676593524,2.7573718382967622,17.647179765099278
 Nigeria,2018.0,60.805679356666666,0.5341582432393965,2.6707912161969825,17.09306378366069
 Mali,2018.0,60.644518581111114,0.532242776468359,2.6612138823417952,17.03176884698749
 Côte d'Ivoire,2018.0,59.535886491111114,0.519066195986038,2.59533097993019,16.610118271553215
 Cameroon,2018.0,59.40898271444444,0.5175578887289758,2.587789443644879,16.561852439327225
 Kenya,2018.0,58.209752541111115,0.5033045101390106,2.516522550695053,16.105744324448338
 Kiribati,2018.0,58.04431616555556,0.5013382259795729,2.5066911298978645,16.042823231346333
 Yemen,2018.0,57.959653726666666,0.5003319756194113,2.5016598780970565,16.010623219821163
 Mauritania,2018.0,57.876154032222225,0.49933954498888866,2.4966977249444433,15.978865439644437
 Burundi,2018.0,57.62715035333334,0.496380026637518,2.4819001331875903,15.884160852400576
 Zambia,2018.0,54.35872207777778,0.45753331760571314,2.2876665880285656,14.64106616338282
 Somalia,2018.0,54.008085335555556,0.4533658455510751,2.2668292277553754,14.507707057634404
 Guinea,2018.0,53.32736831666667,0.4452752240852333,2.2263761204261665,14.248807170727465
 Congo,2017.5,53.31624359125,0.44514300182582134,2.2257150091291065,14.244576058426283
 Sierra Leone,2018.0,52.62114986444445,0.43688150685681876,2.1844075342840936,13.9802082194182
 Burkina Faso,2018.0,51.15616098222222,0.4194694690072678,2.097347345036339,13.423023008232569
 Sao Tome and Principe,2018.0,49.295015694444444,0.3973489378636163,1.9867446893180816,12.715166011635722
 Comoros,2016.5,48.806521161666666,0.3915429652741703,1.9577148263708515,12.52937488877345
 Namibia,2018.0,47.16770618444444,0.3720649277558789,1.8603246387793946,11.906077688188125
 Liberia,2018.0,45.562966446666664,0.35299188946054355,1.7649594473027177,11.295740462737394
 Sudan,2017.0,44.26490208,0.3375638229695074,1.687819114847537,10.802042335024236
 United Republic of Tanzania,2018.0,43.98165342333333,0.33419728798035897,1.6709864399017949,10.694313215371487
 Togo,2018.0,43.94306436888889,0.3337386400788502,1.668693200394251,10.679636482523206
 Guinea-Bissau,2018.0,39.25184724111111,0.27798145913326977,1.3899072956663487,8.895406692264633
 Solomon Islands,2017.5,39.028451665,0.275326304357782,1.37663152178891,8.810441739449024
 Benin,2018.0,37.36047408111111,0.25550165641996214,1.2775082820998107,8.176053005438789
 Mozambique,2018.0,36.56380896111111,0.2460329407244441,1.2301647036222205,7.873054103182211
 Uganda,2018.0,36.49875159777778,0.24525970531870264,1.2262985265935131,7.8483105701984845
 Democratic Republic of the Congo,2018.0,35.353408906666665,0.23164680317975786,1.1582340158987894,7.4126977017522515
 Madagascar,2018.0,31.462884179999996,0.18540620393877474,0.9270310196938737,5.932998526040792
 Central African Republic,2018.0,29.827314155555555,0.1659667341128887,0.8298336705644436,5.3109354916124385
 Niger,2018.0,23.145429255555555,0.08654959027172873,0.43274795135864363,2.7695868886953194
 Papua New Guinea,2018.0,23.123681480000002,0.08629110838445159,0.43145554192225793,2.761315468302451
 South Sudan,2018.0,22.086124372222223,0.07395928535771766,0.3697964267885883,2.366697131446965
 Eritrea,2015.0,21.47893462,0.06674256782774186,0.3337128391387093,2.1357621704877396
 Chad,2018.0,17.432140852222222,0.01864464223325617,0.09322321116628085,0.5966285514641975
 Ethiopia,2018.0,15.863444883333333,0.0,0.0,0.0
