country,year,pm_value,norm_pm_value,norm_with_pts,norm_with_pts_log5
Antigua and Barbuda,2014.5,8.498459,0.9482626383130325,4.741313191565163,30.34440442601704
Papua New Guinea,2014.5,8.642682,0.9459254204797863,4.729627102398932,30.269613455353163
Portugal,2014.5,8.936666,0.9411612382932487,4.705806191466244,30.11715962538396
Ireland,2014.5,8.986944,0.940346453978542,4.70173226989271,30.091086527313344
Saint Lucia,2014.5,9.092023,0.9386435874960831,4.693217937480416,30.03659479987466
Uruguay,2014.5,9.286783,0.9354873881020682,4.677436940510341,29.935596419266183
Saint Vincent and the Grenadines,2014.5,9.536297,0.931443868202714,4.65721934101357,29.806203782486847
Haiti,2014.5,9.854691,0.926284107729013,4.631420538645065,29.641091447328417
Russia,2014.5,9.858151,0.9262280364109637,4.631140182054819,29.63929716515084
Barbados,2014.5,9.897957,0.9255829569640642,4.627914784820321,29.618654622850055
Andorra,2014.5,9.9432,0.9248497677610276,4.624248838805138,29.595192568352882
Grenada,2014.5,10.127628,0.9218610044531647,4.609305022265823,29.49955214250127
Trinidad and Tobago,2014.5,10.348922,0.9182748061131609,4.591374030565804,29.38479379562115
Monaco,2014.5,10.483568,0.916092789150712,4.58046394575356,29.314969252822785
Mauritius,2014.5,10.579364,0.9145403590975746,4.572701795487873,29.265291491122387
Belize,2014.5,10.590517,0.9143596182275733,4.571798091137866,29.259507783282345
Luxembourg,2014.5,10.626394,0.9137782105172679,4.5688910525863395,29.240902736552574
Denmark,2014.5,10.81927,0.9106525424420985,4.5532627122104925,29.14088135814715
Switzerland,2014.5,10.907042,0.909230145988969,4.546150729944845,29.09536467164701
Spain,2014.5,10.99349,0.9078292057280644,4.539146028640322,29.05053458329806
Guyana,2014.5,11.097207,0.9061484112499937,4.530742056249968,28.996749159999798
United Kingdom,2014.5,11.243814,0.9037725593062765,4.518862796531383,28.92072189780085
San Marino,2014.5,11.424332,0.900847159828926,4.50423579914463,28.827109114525634
Lithuania,2014.5,11.753973,0.8955051351603983,4.477525675801991,28.656164325132746
Northern America and Europe (UN),2014.5,11.863127,0.8937362309261906,4.468681154630953,28.5995593896381
Namibia,2014.5,11.944235,0.8924218284798475,4.462109142399237,28.55749851135512
Suriname,2014.5,12.212457,0.8880751345290288,4.4403756726451435,28.41840430492892
France,2014.5,12.371368,0.8854998890889882,4.4274994454449415,28.335996450847624
Kenya,2014.5,12.482009,0.8837068871524858,4.418534435762429,28.278620388879546
Japan,2014.5,12.62469,0.8813946583286132,4.406973291643066,28.204629066515622
Netherlands,2014.5,12.801472,0.8785298029102894,4.392649014551447,28.11295369312926
Germany,2014.5,12.847964,0.877776372933772,4.38888186466886,28.088843933880703
Maldives,2014.5,12.866029,0.877483619072338,4.3874180953616895,28.079475810314815
Botswana,2014.5,13.086614,0.8739089104908593,4.369544552454297,27.965085135707497
Brazil,2014.5,13.106864,0.8735807474300213,4.367903737150106,27.954583917760683
Zimbabwe,2014.5,13.167211,0.8726027890975577,4.363013945487789,27.923289251121847
Argentina,2014.5,13.288224,0.8706417028515734,4.353208514257867,27.86053449125035
Morocco,2014.5,13.379415,0.869163899509308,4.34581949754654,27.813244784297854
Austria,2014.5,13.52297,0.8668375070056736,4.334187535028368,27.738800224181556
Belgium,2014.5,13.594067,0.865685338653259,4.328426693266295,27.70193083690429
Cuba,2014.5,13.775799,0.8627402655978414,4.313701327989207,27.607688499130926
Latvia,2014.5,13.820624,0.8620138503286039,4.31006925164302,27.584443210515325
Americas (WHO),2014.5,13.958138,0.8597853557533904,4.298926778766952,27.513131384108494
Panama,2014.5,13.960576,0.8597458465414238,4.298729232707119,27.511867089325563
Moldova,2014.5,14.185916,0.8560940804115855,4.280470402057928,27.395010573170737
Comoros,2014.5,14.18733,0.8560711657168683,4.280355828584341,27.394277302939784
Malta,2014.5,14.268901,0.8547492600854799,4.2737463004273994,27.351976322735357
Paraguay,2014.5,14.298275,0.8542732372830575,4.271366186415287,27.33674359305784
Somalia,2014.5,14.379676,0.8529540866008218,4.264770433004109,27.2945307712263
Eswatini,2014.5,14.857733,0.8452068940884755,4.226034470442378,27.046620610831216
Ukraine,2014.5,15.122628,0.8409141161131336,4.204570580565668,26.909251715620275
Jamaica,2014.5,15.123161,0.8409054785372607,4.204527392686304,26.908975313192343
Singapore,2014.5,15.418111,0.8361256417573023,4.180628208786511,26.756020536233674
Tanzania,2014.5,15.421309,0.8360738163020648,4.180369081510324,26.754362121666073
Cyprus,2014.5,15.662194,0.8321701343805856,4.160850671902928,26.62944430017874
Romania,2014.5,16.009323,0.8265447064721599,4.132723532360799,26.449430607109118
Madagascar,2014.5,16.295995,0.8218990195103554,4.109495097551777,26.300768624331372
Mozambique,2014.5,16.525488,0.8181799515932746,4.090899757966373,26.181758450984788
Colombia,2014.5,16.662478,0.8159599487436848,4.079799743718424,26.110718359797914
Greece,2014.5,16.701342,0.815330134956208,4.07665067478104,26.090564318598656
Belarus,2014.5,16.927957,0.8116577067077243,4.058288533538621,25.973046614647178
Europe (WHO),2014.5,17.005841,0.8103955510617833,4.051977755308917,25.932657633977065
Seychelles,2014.5,17.148037,0.8080911819457876,4.040455909728938,25.8589178222652
Latin America and the Caribbean (UN),2014.5,17.168141,0.8077653849001043,4.038826924500522,25.848492316803338
Zambia,2014.5,17.212522,0.8070461649098302,4.035230824549151,25.825477277114565
Ecuador,2014.5,17.265952,0.8061803005967155,4.0309015029835775,25.797769619094897
Italy,2014.5,17.299091,0.805643263773352,4.02821631886676,25.780584440747266
Hungary,2014.5,17.441458,0.8033361235026203,4.016680617513101,25.70675595208385
Costa Rica,2014.5,17.672557,0.799591029418838,3.99795514709419,25.586912941402815
Lesotho,2014.5,17.764031,0.7981086398965125,3.9905431994825626,25.5394764766884
Slovenia,2014.5,17.808925,0.7973811064420305,3.9869055322101525,25.516195406144977
Cambodia,2014.5,17.897938,0.7959385988600863,3.9796929943004318,25.470035163522763
Czechia,2014.5,17.917873,0.7956155405579725,3.978077702789862,25.45969729785512
Malawi,2014.5,18.702067,0.782907219405836,3.91453609702918,25.05303102098675
Croatia,2014.5,18.983643,0.7783441160962798,3.8917205804813992,24.907011715080955
South Africa,2014.5,19.069503,0.7769527047183269,3.8847635235916345,24.86248655098646
Venezuela,2014.5,19.384658,0.7718454341287768,3.859227170643884,24.699053892120858
Slovakia,2014.5,19.411234,0.7714147545482914,3.8570737727414572,24.685272145545326
Nicaragua,2014.5,19.433432,0.77105502301128,3.8552751150564,24.67376073636096
Indonesia,2014.5,19.610603,0.7681838636210714,3.8409193181053567,24.581883635874284
Albania,2014.5,19.772554,0.7655593532079471,3.8277967660397354,24.497899302654307
East Timor,2014.5,20.170101,0.7591168722031594,3.7955843610157967,24.2917399105011
Djibouti,2014.5,20.540663,0.7531116988624069,3.7655584943120344,24.09957436359702
Bulgaria,2014.5,21.074355,0.7444629087258768,3.722314543629384,23.82281307922806
Vietnam,2014.5,21.134154,0.743493831053035,3.7174691552651753,23.79180259369712
Laos,2014.5,21.164499,0.7430020726292755,3.715010363146378,23.776066324136817
Mexico,2014.5,21.266901,0.7413425884931802,3.7067129424659013,23.722962831781768
Israel,2014.5,21.338214,0.7401869197347832,3.700934598673916,23.685981431513063
South Sudan,2014.5,21.593096,0.7360564082645363,3.6802820413226818,23.553805064465163
Malaysia,2014.5,21.668461,0.7348350744828053,3.6741753724140263,23.51472238344977
Ethiopia,2014.5,22.130004,0.7273555009722702,3.636777504861351,23.275376031112646
Sudan,2014.5,22.15703,0.7269175288793217,3.6345876443966088,23.261360924138295
Honduras,2014.5,22.295291,0.7246769287334196,3.623384643667098,23.189661719469427
Algeria,2014.5,22.370531,0.7234576206495951,3.6172881032479753,23.150643860787042
Eritrea,2014.5,22.525897,0.72093982400218,3.6046991200109,23.07007436806976
Chile,2014.5,22.628061,0.7192841967948986,3.596420983974493,23.017094297436756
Philippines,2014.5,22.660123,0.7187646133846969,3.5938230669234845,23.0004676283103
Georgia,2014.5,22.667863,0.7186391821703321,3.5931959108516605,22.996453829450626
Turkey,2014.5,23.061492,0.7122601946407229,3.5613009732036143,22.792326228503132
Poland,2014.5,23.185502,0.7102505402617345,3.5512527013086723,22.728017288375504
Montenegro,2014.5,23.607728,0.7034081216678889,3.5170406083394443,22.509059893372445
Sri Lanka,2014.5,23.947158,0.6979074605449147,3.4895373027245737,22.33303873743727
Lebanon,2014.5,23.972125,0.6975028557478806,3.487514278739403,22.32009138393218
Syria,2014.5,24.726004,0.6852858068520058,3.426429034260029,21.929145819264185
Guatemala,2014.5,24.821948,0.6837309783725471,3.4186548918627357,21.87939130792151
Thailand,2014.5,24.885105,0.6827074823511475,3.4135374117557378,21.84663943523672
Jordan,2014.5,25.063654,0.6798139916672188,3.399069958336094,21.754047733351
Angola,2014.5,25.11026,0.6790587142542106,3.3952935712710532,21.72987885613474
Equatorial Guinea,2014.5,25.604165,0.6710546956584984,3.3552734782924922,21.47375026107195
Gabon,2014.5,25.748811,0.6687106228635369,3.343553114317684,21.39873993163318
Bolivia,2014.5,26.106734,0.6629102718894971,3.314551359447486,21.21312870046391
El Salvador,2014.5,26.181914,0.6616919361406677,3.308459680703338,21.174141956501366
Serbia,2014.5,26.25612,0.6604893846299248,3.302446923149624,21.135660308157593
Tunisia,2014.5,26.397586,0.6581968455897024,3.290984227948512,21.062299058870476
South Korea,2014.5,27.126938,0.6463772710342313,3.2318863551711563,20.6840726730954
Myanmar,2014.5,27.490611,0.6404837379564967,3.2024186897824833,20.495479614607895
Central African Republic,2014.5,28.013586,0.6320086230556703,3.1600431152783512,20.22427593778145
Burundi,2014.5,28.066189,0.6311561607599044,3.155780803799522,20.196997144316942
Bhutan,2014.5,28.703234,0.6208324749776072,3.104162374888036,19.86663919928343
Peru,2014.5,29.540611,0.607262292291419,3.036311461457095,19.43239335332541
Congo,2014.5,29.580392,0.6066176179841007,3.0330880899205037,19.411763775491224
Azerbaijan,2014.5,29.648123,0.6055199976249097,3.027599988124549,19.37663992399711
Libya,2014.5,29.698399,0.6047052457213695,3.0235262286068476,19.350567863083825
Palestine,2014.5,29.94532,0.6007037468993858,3.0035187344969287,19.222519900780345
Iran,2014.5,30.126102,0.597774069148057,2.9888703457402848,19.128770212737823
North Macedonia,2014.5,30.840632,0.586194693747536,2.9309734687376796,18.75823019992115
Kazakhstan,2014.5,30.885482,0.5854678733387171,2.9273393666935856,18.734971946838947
Cape Verde,2014.5,31.205591,0.5802803202897403,2.9014016014487014,18.56897024927169
Turkmenistan,2014.5,31.612836,0.5736806775385819,2.8684033876929096,18.35778168123462
Uganda,2014.5,31.620324,0.5735593301311965,2.8677966506559827,18.35389856419829
Benin,2014.5,31.852201,0.5698016281036447,2.8490081405182233,18.23365209931663
Democratic Republic of Congo,2014.5,31.87186,0.5694830425425081,2.8474152127125407,18.22345736136026
Bosnia and Herzegovina,2014.5,31.916541,0.5687589608772587,2.8437948043862935,18.20028674807228
Africa (WHO),2014.5,32.459307,0.5599631212783067,2.7998156063915336,17.918819880905815
Sub-Saharan Africa (UN),2014.5,32.663975,0.5566463569654384,2.783231784827192,17.81268342289403
Sao Tome and Principe,2014.5,33.166381,0.5485045747065072,2.7425228735325358,17.55214639060823
Rwanda,2014.5,34.929201,0.5199370484395256,2.599685242197628,16.63798555006482
Guinea-Bissau,2014.5,34.937245,0.5198066907278525,2.5990334536392625,16.63381410329128
Liberia,2014.5,35.046163,0.518041611011292,2.59020805505646,16.577331552361343
World,2014.5,35.396231,0.5123685548936907,2.5618427744684533,16.395793756598103
Northern Africa and Western Asia (UN),2014.5,35.552111,0.5098424285764849,2.5492121428824244,16.314957714447516
Oman,2014.5,35.818254,0.5055294260332452,2.527647130166226,16.176941633063848
Togo,2014.5,36.197744,0.49937956924522564,2.496897846226128,15.98014621584722
Guinea,2014.5,37.828129,0.4729582293961243,2.3647911469806218,15.134663340675978
Senegal,2014.5,38.365707,0.4642464643630798,2.321232321815399,14.855886859618554
Gambia,2014.5,38.707455,0.45870823869812904,2.293541193490645,14.67866363834013
