country,year,water_pct,norm_water,norm_water_withpts,norm_water_withpts_log5
 Syrian Arab Republic,2018,91.92135284,0.88631605,4.43158025,28.3621136
 Brazil,2018,91.65935121,0.882629123,4.413145616,28.24413194
 Poland,2018,91.5781881,0.881486984,4.407434918,28.20758347
 Marshall Islands,2017.764706,91.34705981,0.878234511,4.391172556,28.10350436
 Romania,2018,90.97823524,0.873044356,4.365221779,27.93741938
 Jamaica,2017.363636,90.79295897,0.87043712,4.3521856,27.85398784
 Djibouti,2018,90.70138491,0.869148476,4.345742379,27.81275123
 State of Palestine,2018,90.70079956,0.869140239,4.345701194,27.81248764
 Micronesia (Federated States of),2017,90.14041675,0.861254447,4.306272233,27.56014229
 Jordan,2018,89.85667697,0.857261617,4.286308087,27.43237176
 Guyana,2018,88.69029243,0.840848077,4.204240385,26.90713846
 Costa Rica,2018,88.52599958,0.838536123,4.192680615,26.83315594
 Serbia,2017.789474,87.80958981,0.828454696,4.14227348,26.51055027
 Saint Pierre and Miquelon,2017,87.26415,0.820779184,4.10389592,26.26493389
 Kyrgyzstan,2018,86.65147664,0.812157551,4.060787757,25.98904165
 Russian Federation,2018,86.60190715,0.811460002,4.05730001,25.96672006
 Tunisia,2018,85.95492561,0.80235558,4.011777898,25.67537854
 Algeria,2018,85.88565628,0.801380811,4.006904055,25.64418595
 Georgia,2018,85.64379425,0.797977292,3.989886458,25.53527333
 Uzbekistan,2018.434783,85.55196423,0.796685046,3.983425228,25.49392146
 Iraq,2018,83.96675773,0.774377779,3.871888895,24.78008893
 Azerbaijan,2017.545455,83.89854895,0.773417935,3.867089673,24.74937391
 Albania,2018,83.81984159,0.772310353,3.861551764,24.71393129
 Republic of Moldova,2017.571429,83.39126654,0.76627938,3.831396898,24.52094015
 Bhutan,2018,82.96004754,0.7602112,3.801056001,24.32675841
 Ecuador,2018,82.63701001,0.755665367,3.778326836,24.18129175
 India,2018,81.60655093,0.74116459,3.705822952,23.71726689
 Honduras,2018,81.04027778,0.733195909,3.665979543,23.46226908
 Democratic People's Republic of Korea,2018,80.8643517,0.73072025,3.65360125,23.383048
 Paraguay,2017.72,80.67654456,0.728077399,3.640386997,23.29847678
 Turks and Caicos Islands,2019,80.6147434,0.727207724,3.636038621,23.27064717
 Colombia,2018,79.8526758,0.716483793,3.582418966,22.92748138
 Viet Nam,2018,79.45697386,0.710915415,3.554577077,22.74929329
 Samoa,2018.28,77.95940264,0.689841366,3.449206828,22.0749237
 Mexico,2018,77.90792857,0.689117015,3.445585074,22.05174447
 Namibia,2017.230769,77.04421831,0.676962753,3.384813764,21.66280809
 Guatemala,2017.625,75.15468851,0.650373002,3.251865012,20.81193608
 Suriname,2018,75.0932259,0.649508091,3.247540456,20.78425892
 Philippines,2018,74.9226414,0.6471076,3.235538,20.7074432
 Yemen,2017.230769,74.63497101,0.643059459,3.215297294,20.57790268
 Vanuatu,2018,74.28583408,0.638146351,3.190731754,20.42068322
 Lebanon,2018,73.34195804,0.624863984,3.124319918,19.99564748
 Fiji,2018.375,73.14917031,0.622151046,3.110755228,19.90883346
 South Africa,2017.5625,73.10471575,0.621525474,3.107627371,19.88881518
 Sri Lanka,2018.375,72.84904679,0.617927662,3.089638308,19.77368517
 Peru,2018,71.96986822,0.605555727,3.027778636,19.37778327
 Pakistan,2018,71.24164924,0.595308119,2.976540596,19.04985981
