country_c,pm25,pol_log32_n,avg_life,lifeexpect_log32_n,sanitation_value,santitation_log32_n,water_pct,water_log32_n
Belarus,15.441196,26.675988007673467,73.64,22.652121216,99.50486239,31.811682272,96.13284829,30.25858731684572
Jamaica,15.718328,26.52759121645716,71.6,21.069575744,98.81791755,31.55041376,90.79295897,27.8539878374816
Colombia,15.77876,26.495231492979592,75.96,24.451878784,95.74387579,30.38125088,79.8526758,22.927481380475463
Italy,15.80656,26.48034533477407,82.84,29.789090912,99.98591099,31.994641472,96.71326188,30.51995269966416
Madagascar,16.193868,26.272952235412006,63.23,14.576484864,31.46288418,5.932998528,32.43878108,1.5765844374771394
Hungary,16.291438,26.22070610389715,75.92,24.42084848,99.99999977,31.999999904,97.90296343,31.055685849977596
Mozambique,16.499078,26.10952042440812,60.35,12.34230304,36.56380896,7.873054112,55.35354327,11.895304907104164
Czechia,16.594786,26.05827134420904,78.73,26.600727264,99.99330457,31.997453504,98.88108501,31.49614266491825
Slovenia,16.6441,26.03186501306705,80.64,28.082424256,99.35982906,31.756521184,98.19757223,31.18835080324597
Costa Rica,16.70266,26.00050769563844,79.92,27.523878784,98.42818326,31.402184512,88.52599958,26.833155935869524
Ecuador,16.73258,25.984486334001414,75.8,24.327757568,96.6680077,30.73272976,82.63701001,24.18129174816708
Seychelles,16.894536,25.897763217514584,72.3,21.612606048,99.48557635,31.804347136,96.12614105,30.255566987238595
Zambia,17.124224,25.774771422337945,62.31,13.862787872,54.35872208,14.641066176,44.74369595,7.11759664145703
Lesotho,17.644478,25.49618928740784,53.85,7.299878784,64.63868161,18.550885216,38.08257703,4.118035765349861
Cambodia,17.677496,25.478509029435536,69.77,19.649939392,71.37765089,21.113944928,61.3475277,14.594449210659626
Slovakia,18.098388,25.253132594203898,76.93,25.204363648,99.94880384,31.980528352,99.52116377,31.784375802500964
Venezuela,18.351288,25.117711392398963,72.47,21.744484864,96.08476485,30.510902592,94.5125532,29.52895407983506
Nicaragua,18.370062,25.107658416350382,73.01,22.163393952,79.66358385,24.265367712,69.13149002,18.09963641968252
Albania,18.435358,25.07269415066017,78.52,26.437818176,99.53435481,31.822899264,83.81984159,24.71393129011238
Malawi,18.608276,24.980101175675173,64.07,15.228121216,62.26259841,17.647179776,39.64565474,4.821903509123931
Indonesia,19.267956,24.62686013808451,69.67,19.572363648,88.06870484,27.462121728,66.3760805,16.85885109620938
South Africa,19.372512,24.57087318997887,64.58,15.623757568,88.74406006,27.718982336,73.10471575,19.888815174000623
Bulgaria,19.606286,24.44569345083001,74.39,23.233939392,99.99974206,31.999901888,97.73069497,30.97811183591041
Mexico,20.004454,24.232485111248096,73.62,22.636606048,97.19782408,30.934236992,77.90792857,22.051744469742484
Timor-Leste,20.051292,24.20740461203837,66.13,16.826181824,67.443896,19.617803872,58.76052075,13.429497056729709
Israel,20.157812,24.15036599433864,82.59,29.59515152,99.94873377,31.980501696,99.76434859,31.89388408189003
Djibouti,20.425962,24.006778824453335,63.86,15.065212128,71.12682971,21.018549088,90.70138491,27.81275122679483
Vietnam,20.784824,23.81461779905942,74.24,23.117575744,87.51025427,27.249723936,79.45697386,22.74929329044453
Laos,20.832206,23.789246002365388,67.5,17.888969696,77.97361479,23.622614848,52.38865466,10.560189293138848
