country_x,year_x,sanitation_value,norm_sanitize,norm_sanitize_withpts5,norm_sanitize_withpts_log5,country_c,santitation_log32_n,water_pct,water_log32_n,avg_life,lifeexpect_log32_n,country_y,year_y,modtosev_food_insecure_pct,norm_pct_foodinsecure,norm_withpts,norm_withpts_log5,foodinsecure_log32_n,country,year,pm_value,norm_pm_value,norm_with_pts,norm_with_pts_log5,pollution_log32_n
 Benin,2018.0,37.36047408,0.255501656,1.277508282,8.176053005,Benin,8.176052992,42.56033585,6.1344102409335814,59.67,11.814787872,Benin,2018.5,0.7230708192532008,0.2769291807467992,1.384645903733996,8.861733783897574,8.861733783897574,Benin,2014.5,0.430198372,0.569801628,2.849008141,18.2336521,18.233652096
 Bosnia and Herzegovina,2016.0,95.93328929,0.951665353,4.758326764,30.45329129,Bosnia and Herzegovina,30.453291296,94.60757888,29.571744985593803,76.94,25.212121216,Bosnia and Herzegovina,2018.5,0.10459234278497942,0.8954076572150206,4.477038286075103,28.65304503088066,28.65304503088066,Bosnia and Herzegovina,2014.5,0.431241039,0.568758961,2.843794804,18.20028675,18.200286752
 Botswana,2018.0,83.39267019,0.802614574,4.013072868,25.68366635,Botswana,25.683666368,97.02339059,30.65960640593271,65.34,16.213333344,Botswana,2018.5,0.6074687561750657,0.3925312438249343,1.962656219124672,12.560999802397898,12.560999802397898,Botswana,2014.5,0.12609108999999996,0.87390891,4.369544552,27.96508514,27.96508512
 Brazil,2018.0,88.60122215,0.864520507,4.322602534,27.66465622,Brazil,27.664656224,91.65935121,28.24413194054872,74.97,23.683878784,Brazil,2018.5,0.17481650465483767,0.8251834953451623,4.125917476725812,26.405871851045195,26.405871851045195,Brazil,2014.5,0.126419253,0.873580747,4.367903737,27.95458392,27.954583904
 Bulgaria,2018.0,99.99974206,0.999996934,4.999984671,31.9999019,Bulgaria,31.999901888,97.73069497,30.978111835910415,74.39,23.233939392,Bulgaria,2018.5,0.14208490378329364,0.8579150962167064,4.289575481083531,27.453283078934604,27.453283078934604,Bulgaria,2014.5,0.255537091,0.744462909,3.722314544,23.82281308,23.822813088
 Burkina Faso,2018.0,51.15616098,0.419469469,2.097347345,13.42302301,Burkina Faso,13.423023008,42.97643941,6.321785361236178,59.66,11.807030304,Burkina Faso,2019.5,0.44872049194807684,0.5512795080519232,2.756397540259616,17.64094425766154,17.64094425766154,Burkina Faso,2014.5,0.583842,0.416158,2.080790002,13.31705601,13.317056
 Burundi,2018.0,57.62715035,0.496380027,2.481900133,15.88416085,Burundi,15.884160864,43.38852389,6.507350654200349,61.49,13.226666656,Burundi,2022.0,0.8176949017727556,0.1823050982272444,0.911525491136222,5.83376314327182,5.83376314327182,Burundi,2014.5,0.36884383899999995,0.631156161,3.155780804,20.19699714,20.196997152
 Cote d'Ivoire,2018.0,59.53588649,0.519066196,2.59533098,16.61011827,Cote d'Ivoire,16.610118272,46.86389146,8.072339467380647,59.57,11.737212128,Cote d'Ivoire,2018.5,0.42923031142911205,0.570769688570888,2.8538484428544395,18.26463003426841,18.264630034268414,Cote d'Ivoire,2014.5,0.580378623,0.419621377,2.098106883,13.42788405,13.427884064
 Cabo Verde,2018.0,82.80553878,0.795636258,3.978181291,25.46036027,Cabo Verde,25.460360256,96.54791497,30.44549552089617,74.63,23.420121216,Cape Verde,2019.5,0.39892878399528153,0.6010712160047185,3.005356080023592,19.23427891215099,19.23427891215099,Cape Verde,2014.5,0.41971968000000004,0.58028032,2.901401601,18.56897025,18.56897024
 Cambodia,2018.0,71.37765089,0.659810779,3.299053897,21.11394494,Cambodia,21.113944928,61.3475277,14.594449210659626,69.77,19.649939392,Cambodia,2018.5,0.5426006744478238,0.4573993255521762,2.286996627760881,14.63677841766964,14.636778417669639,Cambodia,2014.5,0.20406140100000003,0.795938599,3.979692994,25.47003516,25.470035168
