country,year,modtosev_food_insecure_pct,norm_pct_foodinsecure,norm_withpts,norm_withpts_log5
Russia,2018.5,6.625,0.9461416385659138,4.730708192829569,30.276532434109242
Iceland,2018.5,6.7,0.9452489585421444,4.726244792710722,30.24796667334862
Ireland,2018.5,6.7875,0.9442074985144135,4.7210374925720675,30.214639952461233
Vietnam,2019.5,7.716666667,0.9331481848826364,4.665740924413182,29.860741916244365
Spain,2018.5,7.875,0.9312636381697574,4.656318190848787,29.800436421432238
Sri Lanka,2018.5,8.375,0.9253124380112949,4.626562190056474,29.609998016361438
Estonia,2018.5,8.375,0.9253124380112949,4.626562190056474,29.609998016361438
Croatia,2018.5,8.9,0.9190636778449092,4.595318389224546,29.410037691037093
United States,2018.5,8.9375,0.9186173378330245,4.593086689165123,29.395754810656783
Azerbaijan,2018.5,9.0375,0.917427097801332,4.58713548900666,29.357667129642625
United Arab Emirates,2021.0,9.1,0.9166831977815242,4.583415988907621,29.333862329008774
Finland,2018.5,9.2,0.9154929577498316,4.577464788749158,29.295774647994612
Slovenia,2018.5,9.5,0.9119222376547541,4.55961118827377,29.18151160495213
Latvia,2018.5,9.6875,0.9096905375953307,4.548452687976654,29.110097203050582
Hungary,2018.5,10.4,0.9012100773695215,4.506050386847607,28.83872247582469
Bosnia and Herzegovina,2018.5,10.8875,0.8954076572150206,4.477038286075103,28.65304503088066
Lithuania,2018.5,10.9,0.895258877211059,4.4762943860552955,28.64828407075389
Greece,2018.5,11.275,0.8907954770922121,4.4539773854610605,28.505455266950786
Armenia,2019.5,11.28333333,0.890696290462579,4.453481452312895,28.50228129480253
Kuwait,2018.5,11.7125,0.8855881769535573,4.427940884767787,28.338821662513833
Australia,2018.5,12.1375,0.8805296568188641,4.402648284094321,28.17694901820365
Portugal,2018.5,12.25,0.8791906367832101,4.395953183916051,28.134100377062722
Israel,2018.5,12.6375,0.8745784566604016,4.372892283302008,27.98651061313285
Montenegro,2018.5,12.6875,0.8739833366445553,4.369916683222776,27.96746677262577
Serbia,2018.5,12.8875,0.8716028565811703,4.3580142829058515,27.89129141059745
Maldives,2018.5,13.4,0.8655028764187462,4.327514382093732,27.69609204539988
New Zealand,2018.5,13.5625,0.8635687363672458,4.317843681836229,27.634199563751867
Bulgaria,2018.5,14.0375,0.8579150962167064,4.289575481083531,27.453283078934604
Seychelles,2018.2,14.38,0.8538385241081595,4.269192620540798,27.322832771461105
Uruguay,2020.0,14.46,0.8528863320828055,4.2644316604140275,27.292362626649776
Costa Rica,2018.5,14.6125,0.8510712160344744,4.255356080172373,27.234278913103182
Chile,2018.5,15.3125,0.8427395358126268,4.213697679063134,26.96766514600406
Malaysia,2018.5,15.7125,0.8379785756858569,4.189892878429284,26.81531442194742
Romania,2018.5,15.975,0.834854195602664,4.17427097801332,26.71533425928525
Brazil,2018.5,16.7875,0.8251834953451623,4.125917476725812,26.405871851045195
Bahamas,2021.0,17.2,0.8202737552144308,4.101368776072154,26.248760166861786
North Macedonia,2018.5,17.5375,0.8162566951074685,4.081283475537342,26.12021424343899
South Africa,2020.0,18.64,0.8031342987580585,4.015671493790292,25.700297560257873
Tonga,2020.5,19.0,0.7988494346439655,3.9942471732198275,25.563181908606897
Algeria,2018.5,19.5875,0.791856774457772,3.95928387228886,25.339416782648705
Paraguay,2018.5,19.65,0.7911128744379643,3.9555643721898215,25.315611982014858
Fiji,2020.5,21.75,0.7661178337724215,3.830589168862107,24.515770680717488
Saint Lucia,2018.2,22.2,0.7607617536298051,3.803808768149026,24.344376116153764
Grenada,2019.5,22.35,0.7589763935822664,3.794881967911332,24.287244594632526
Mali,2019.5,22.91666667,0.7522317000296674,3.761158500148337,24.071414400949358
Ukraine,2018.5,22.9625,0.7516861733881498,3.758430866940749,24.053957548420794
Mauritius,2018.5,23.05,0.7506447133604188,3.7532235668020943,24.020630827533402
Vanuatu,2020.0,23.3,0.7476691132811875,3.738345566405937,23.925411624998
Tunisia,2018.5,23.4875,0.745437413221764,3.7271870661088204,23.85399722309645
Samoa,2019.5,23.6,0.74409839318611,3.72049196593055,23.81114858195552
Mexico,2018.5,23.7875,0.7418666931266865,3.7093334656334327,23.73973418005397
Moldova,2018.5,24.075,0.7384447530355706,3.692223765177853,23.630232097138258
Pakistan,2018.5,24.6625,0.7314520928493771,3.6572604642468853,23.406466971180066
Guyana,2021.5,25.5,0.7214838325839523,3.6074191629197614,23.087482642686474
Saint Kitts and Nevis,2020.0,26.32,0.7117238643240738,3.5586193216203688,22.77516365837036
Colombia,2018.5,26.875,0.7051180321481803,3.5255901607409013,22.563777028741768
Myanmar,2020.5,27.25,0.7006546320293333,3.5032731601466667,22.420948224938666
Palestine,2019.5,27.46666667,0.6980757785876582,3.490378892938291,22.338424914805064
Tajikistan,2018.5,27.4875,0.6978278119540635,3.4891390597703174,22.330489982530032
Lebanon,2020.0,28.28,0.6883951597029004,3.4419757985145023,22.028645110492814
Egypt,2018.5,29.425,0.6747669113400212,3.373834556700106,21.59254116288068
Ecuador,2018.5,30.4,0.6631620710310192,3.315810355155096,21.221186272992615
