country,year,health_pct_gdp,norm_healthgdp,healthgdp_norm_withpts,healthgdp_norm_withpts_log5
Myanmar,2016.0,4.314545455,0.13919110690222355,0.6959555345111178,2.227057710435577
Turkey,2016.0,4.368181818,0.1426797539752046,0.713398769876023,2.2828760636032737
Bahrain,2016.0,4.375454545,0.1431527908543297,0.7157639542716485,2.290444653669275
Guyana,2016.0,4.385454545,0.14380321658751763,0.7190160829375881,2.300851465400282
Saint Vincent and the Grenadines,2016.0,4.386363636,0.14386234620553856,0.7193117310276929,2.301797539288617
Senegal,2016.0,4.408181818,0.14528145690795644,0.7264072845397822,2.324503310527303
Haiti,2016.0,4.430909091,0.14675969722839524,0.7337984861419762,2.348155155654324
Mongolia,2016.0,4.5,0.15125354774268998,0.7562677387134499,2.4200567638830397
Chad,2016.0,4.536363636,0.153618732203358,0.76809366101679,2.457899715253728
Solomon Islands,2016.0,4.546363636,0.15426915793654594,0.7713457896827297,2.468306526984735
Kenya,2016.0,4.641818182,0.16047776724336335,0.8023888362168168,2.5676442758938136
Dominican Republic,2016.0,4.711818182,0.16503074737567908,0.8251537368783954,2.6404919580108652
Egypt,2016.0,4.713636364,0.165149006611721,0.8257450330586049,2.642384105787536
Belize,2016.0,4.738181818,0.16674550610315914,0.8337275305157956,2.667928097650546
Vietnam,2016.0,4.775454545,0.1691698201818481,0.8458491009092405,2.7067171229095695
Yemen,2013.0,4.804,0.171026490031604,0.85513245015802,2.736423840505664
Tonga,2016.0,4.810909091,0.17147587508953774,0.8573793754476887,2.743614001432604
Nepal,2016.0,4.897272727,0.17709318821614553,0.8854659410807276,2.8334910114583285
Turkmenistan,2016.0,4.935454545,0.17957663191285544,0.8978831595642772,2.873226110605687
Seychelles,2016.0,4.937272727,0.17969489114889736,0.8984744557444868,2.875118258382358
Saint Lucia,2016.0,4.943636364,0.18010879847504405,0.9005439923752202,2.8817407756007047
Zambia,2016.0,4.959090909,0.18111400185131524,0.9055700092565762,2.897824029621044
Uganda,2016.0,4.977272727,0.18229659408164922,0.9114829704082461,2.9167455053063875
China,2016.0,4.989090909,0.18306527905087908,0.9153263952543954,2.929044464814065
Sudan,2016.0,5.113636364,0.19116603593923945,0.9558301796961972,3.058656575027831
Niger,2016.0,5.137272727,0.1927034058126566,0.9635170290632831,3.0832544930025056
Grenada,2016.0,5.14,0.19288079466671945,0.9644039733335973,3.0860927146675112
Peru,2016.0,5.141818182,0.19299905390276137,0.9649952695138069,3.087984862444182
Cape Verde,2016.0,5.210909091,0.19749290441705616,0.9874645220852808,3.1598864706728986
Comoros,2016.0,5.238181818,0.19926679276255715,0.9963339638127857,3.1882686842009145
Saint Kitts and Nevis,2016.0,5.241818182,0.199503311234641,0.9975165561732049,3.192052979754256
Morocco,2016.0,5.286363636,0.20240066219245503,1.0120033109622752,3.2384105950792805
Romania,2016.0,5.308181818,0.2038197728948729,1.0190988644743646,3.2611163663179665
Antigua and Barbuda,2016.0,5.324545455,0.20488410595420753,1.0244205297710376,3.2781456952673205
Saudi Arabia,2016.0,5.346363636,0.20630321659158282,1.0315160829579142,3.300851465465325
Luxembourg,2016.0,5.378181818,0.20837275302718858,1.0418637651359428,3.3339640484350173
Mauritius,2016.0,5.427272727,0.21156575207510744,1.0578287603755372,3.385052033201719
Burkina Faso,2016.0,5.466363636,0.21410832538983832,1.0705416269491916,3.425733206237413
Uzbekistan,2016.0,5.478181818,0.21487701035906823,1.074385051795341,3.4380321657450916
Togo,2016.0,5.531818182,0.21836565749709186,1.0918282874854592,3.4938505199534697
